date,close,volume
2021-07-06,369.86,1193972
2021-07-07,367.67,1116791
2021-07-08,358.94,1613399
2021-07-09,371.76,1530566
2021-07-12,380.5,2422840
2021-07-13,375.98,3991015
2021-07-14,374.4,1577696
2021-07-15,373.35,1283206
2021-07-16,364.8,1415675
2021-07-19,354.72,2484496
2021-07-20,364.76,1687307
2021-07-21,373.5,1383779
2021-07-22,372.71,1035236
2021-07-23,374.05,942188
2021-07-26,375.9,878074
2021-07-27,374.84,989444
2021-07-28,374.23,813735
2021-07-29,377.55,671220
2021-07-30,374.88,678286
2021-08-02,378.19,1389296
2021-08-03,380.36,817228
2021-08-04,377.86,766441
2021-08-05,384.3,888486
2021-08-06,397.89,2287970
2021-08-09,399.88,2035669
2021-08-10,407.97,1982876
2021-08-11,413.89,1788525
2021-08-12,415,1324020
2021-08-13,410.78,1048460
2021-08-16,408.35,786440
2021-08-17,404.97,862780
2021-08-18,398.8,739205
2021-08-19,393.57,1292255
2021-08-20,395.87,898014
2021-08-23,401.45,892299
2021-08-24,408.56,1086431
2021-08-25,413.12,1037011
2021-08-26,412.41,1230678
2021-08-27,419.69,1216326
2021-08-30,413.6,1035750
2021-08-31,413.51,815276
2021-09-01,413.66,821969
2021-09-02,414.5,844919
2021-09-03,411.31,656446
2021-09-07,410.32,891646
2021-09-08,405,829790
2021-09-09,404.58,1126349
2021-09-10,403.48,1039713
2021-09-13,409.26,881887
2021-09-14,403.69,1908466
2021-09-15,401.95,1680027
2021-09-16,396.68,1312888
2021-09-17,391.46,1657131
2021-09-20,378.13,1957530
2021-09-21,375.84,1319352
2021-09-22,385.47,1593544
2021-09-23,391.86,1288084
2021-09-24,390.85,971038
2021-09-27,399.81,1706043
2021-09-28,389.5,1427175
2021-09-29,384.89,1125878
2021-09-30,378.03,1432069
2021-10-01,380,1358788
2021-10-04,374.15,1721852
2021-10-05,385.81,1317099
2021-10-06,388.05,1123773
2021-10-07,390.62,1182373
2021-10-08,392.81,843937
2021-10-11,385.24,1081597
2021-10-12,386.53,1161116
2021-10-13,386.31,1137391
2021-10-14,391.2,1963920
2021-10-15,406.07,4064722
2021-10-18,413.69,2296637
2021-10-19,412.16,1495758
2021-10-20,407.89,1422638
2021-10-21,407.59,1177438
2021-10-22,414.32,1360158
2021-10-25,414.75,958902
2021-10-26,417.61,967162
2021-10-27,410.99,1074529
2021-10-28,414.82,755577
2021-10-29,413.35,926021
2021-11-01,416.7,894209
2021-11-02,423.85,1614143
2021-11-03,417.9,1756479
2021-11-04,408.07,2083724
2021-11-05,407.08,975891
2021-11-08,408.34,792606
2021-11-09,405.35,1199509
2021-11-10,399.12,1009585
2021-11-11,402.34,608352
2021-11-12,404.91,687465
2021-11-15,404.81,616992
2021-11-16,403.09,636715
2021-11-17,391.55,1551845
2021-11-18,391.37,917840
2021-11-19,387.39,1465936
2021-11-22,396.16,1598019
2021-11-23,406.34,1202034
2021-11-24,399.19,1103218
2021-11-26,389.39,1468990
2021-11-29,386.54,1300185
2021-11-30,380.99,1593182
2021-12-01,376.48,1249284
2021-12-02,387.54,1315279
2021-12-03,382.73,1301669
2021-12-06,389.3,965680
2021-12-07,400.11,1147898
2021-12-08,397.32,643953
2021-12-09,396.49,846383
2021-12-10,391.06,1031377
2021-12-13,384.64,1155248
2021-12-14,388.82,1159163
2021-12-15,389.91,1429011
2021-12-16,397.37,1554534
2021-12-17,381.8,2965303
2021-12-20,371.61,1965627
2021-12-21,380.32,1445988
2021-12-22,382.33,685399
2021-12-23,385.04,785297
2021-12-27,388.04,711443
2021-12-28,387.61,650807
2021-12-29,386.2,638707
2021-12-30,385.52,588427
2021-12-31,382.55,786553
2022-01-03,395.33,1811923
2022-01-04,407.48,2039002
2022-01-05,398.63,1736103
2022-01-06,396.93,1585066
2022-01-07,397.51,1110116
2022-01-10,399.17,1631577
2022-01-11,403.05,849342
2022-01-12,390.31,2433138
2022-01-13,390.8,1287315
2022-01-14,380.94,2536448
2022-01-18,354.4,8403496
2022-01-19,347.32,4310419
2022-01-20,348.1,2662507
2022-01-21,343.91,2702105
