date,close,volume
2021-07-06,453.59,266914
2021-07-07,457.48,247675
2021-07-08,454.5,265236
2021-07-09,455.65,217311
2021-07-12,458.31,230736
2021-07-13,460.31,536102
2021-07-14,460.11,320264
2021-07-15,466.93,514904
2021-07-16,470.9,397238
2021-07-19,460.93,479164
2021-07-20,460.5,408948
2021-07-21,463.48,229913
2021-07-22,463.7,221979
2021-07-23,471.22,292037
2021-07-26,467.31,355710
2021-07-27,467.5,339919
2021-07-28,440.81,1636122
2021-07-29,430.75,794162
2021-07-30,425.86,678017
2021-08-02,429.58,534688
2021-08-03,425.49,564419
2021-08-04,426.21,544183
2021-08-05,415.9,1392197
2021-08-06,419.21,498398
2021-08-09,416.65,404030
2021-08-10,414.8,570621
2021-08-11,408.8,581503
2021-08-12,405.74,332207
2021-08-13,410.77,238334
2021-08-16,412.16,320958
2021-08-17,413.36,401772
2021-08-18,408.16,364379
2021-08-19,413.69,337445
2021-08-20,413.61,219996
2021-08-23,414.47,182755
2021-08-24,412.34,160670
2021-08-25,406.6,324234
2021-08-26,402.75,456959
2021-08-27,405.76,400908
2021-08-30,405.51,414544
2021-08-31,405.42,285124
2021-09-01,405.6,266457
2021-09-02,416.16,355926
2021-09-03,415.56,301042
2021-09-07,413.71,291041
2021-09-08,413.5,636035
2021-09-09,417.12,302104
2021-09-10,401.98,798826
2021-09-13,409.05,520657
2021-09-14,401.99,369965
2021-09-15,401,641032
2021-09-16,399.17,561721
2021-09-17,407.79,582349
2021-09-20,404.11,260053
2021-09-21,400.75,238500
2021-09-22,400.35,319658
2021-09-23,401.45,294889
2021-09-24,398.91,307819
2021-09-27,401,207775
2021-09-28,395,250323
2021-09-29,395.35,185004
2021-09-30,389.15,407932
2021-10-01,391.55,229518
2021-10-04,384.96,235225
2021-10-05,388.31,297567
2021-10-06,392.5,415323
2021-10-07,403.86,339321
2021-10-08,412.76,460252
2021-10-11,414.87,510416
2021-10-12,420.42,579361
2021-10-13,420.69,562274
2021-10-14,434.98,927256
2021-10-15,441,742218
2021-10-18,438.55,403638
2021-10-19,441.5,359201
2021-10-20,454.48,620545
2021-10-21,460.81,260990
2021-10-22,461.85,185747
2021-10-25,463.42,267946
2021-10-26,467.1,357685
2021-10-27,458.64,382861
2021-10-28,467.6,434053
2021-10-29,463.16,434755
2021-11-01,459.51,400908
2021-11-02,457.11,344923
2021-11-03,459.45,916657
2021-11-04,453.55,594367
2021-11-05,453.43,386096
2021-11-08,454.5,369559
2021-11-09,450.4,324437
2021-11-10,448.51,218148
2021-11-11,446.5,245939
2021-11-12,445.42,211629
2021-11-15,438.19,258381
2021-11-16,444.13,338820
2021-11-17,438.4,255768
2021-11-18,445.97,416340
2021-11-19,434.87,333796
2021-11-22,432.39,160282
2021-11-23,437.23,206860
2021-11-24,436.19,258281
2021-11-26,428.49,351088
2021-11-29,428.07,212604
2021-11-30,419.71,401821
2021-12-01,417.62,290949
2021-12-02,421.44,450385
2021-12-03,421.7,196746
2021-12-06,432.5,272165
2021-12-07,433.01,140984
2021-12-08,440,451068
2021-12-09,452.28,409052
2021-12-10,461.19,465354
2021-12-13,464.37,330992
2021-12-14,461.86,553972
2021-12-15,461.8,359840
2021-12-16,457.47,321676
2021-12-17,453.33,370394
2021-12-20,451.1,287365
2021-12-21,450.14,255247
2021-12-22,456.04,253323
2021-12-23,460.54,146590
2021-12-27,464.23,86063
2021-12-28,466.5,151594
2021-12-29,469.02,130376
2021-12-30,466.28,319510
2021-12-31,463.86,124838
2022-01-03,465.45,275435
2022-01-04,458.99,284592
2022-01-05,455.83,359060
2022-01-06,367.53,5458876
2022-01-07,363.17,3855034
2022-01-10,385.18,1679590
2022-01-11,391.66,1028905
2022-01-12,395.28,704872
2022-01-13,393.59,874153
2022-01-14,391.66,503483
2022-01-18,387.88,879461
2022-01-19,377.84,1063281
2022-01-20,383.01,661854
2022-01-21,375.25,1280026
2022-01-24,379.1,898611
2022-01-25,375.04,628684
2022-01-26,377.09,939552
2022-01-27,383.05,776242
2022-01-28,386.18,671046
2022-01-31,392.5,726271
2022-02-01,390.68,823131
2022-02-02,401.22,1024612
2022-02-03,426.21,2544061
2022-02-04,429.85,1245202
2022-02-07,430.35,752755
2022-02-08,433,712021
2022-02-09,436.54,1192483
2022-02-10,432.17,488560
2022-02-11,423.97,561422
2022-02-14,419.64,354677
2022-02-15,422.1,427709
2022-02-16,428.77,355206
2022-02-17,424.71,268805
2022-02-18,421.75,263902
2022-02-22,420.57,362530
2022-02-23,413.76,442325
2022-02-24,421.3,510319
2022-02-25,432.66,380459
2022-02-28,434.32,264466
2022-03-01,431,314288
2022-03-02,436.45,469081
2022-03-03,436.01,317835
2022-03-04,441.39,432530
2022-03-07,426.83,428139
2022-03-08,424.66,397713
2022-03-09,429.17,341951
2022-03-10,431.3,493467
2022-03-11,426.12,291599
2022-03-14,431.94,507053
2022-03-15,439.87,576053
2022-03-16,442.82,444100
2022-03-17,441.09,630336
2022-03-18,440.61,829146
2022-03-21,436.87,332835
2022-03-22,438.43,557539
2022-03-23,430.61,319433
2022-03-24,437.42,389778
2022-03-25,435.54,280004
2022-03-28,435.05,277824
2022-03-29,438.95,315328
2022-03-30,439.39,568041
2022-03-31,435.17,370253
2022-04-01,441.41,254615
2022-04-04,437.69,278043
2022-04-05,443.22,382434
2022-04-06,449.05,374643
2022-04-07,457.6,652972
2022-04-08,457.81,406297
2022-04-11,451.33,317663
2022-04-12,449.04,417379
2022-04-13,458.78,568091
2022-04-14,460.56,509212
2022-04-18,453.97,213907
2022-04-19,458.69,463905
2022-04-20,465.49,432243
2022-04-21,455.92,334510
2022-04-22,444.48,256560
2022-04-25,441.53,516736
2022-04-26,430.5,434909
2022-04-27,443.37,572178
2022-04-28,458.99,626075
2022-04-29,444.56,389695
2022-05-02,433.51,520515
2022-05-03,433.78,234623
2022-05-04,442.34,315295
2022-05-05,434,255481
2022-05-06,430.66,441992
2022-05-09,424.51,430281
2022-05-10,432.8,490368
2022-05-11,431.73,387122
2022-05-12,428.94,496769
2022-05-13,438.89,409199
2022-05-16,440.98,153362
2022-05-17,440.59,215777
2022-05-18,420.04,413609
2022-05-19,432,551173
2022-05-20,439.62,267236
2022-05-23,441.39,241955
2022-05-24,440.42,255543
2022-05-25,444.69,207995
2022-05-26,452.22,208605
2022-05-27,461.21,223989
2022-05-31,454.23,231728
2022-06-01,447.59,182900
2022-06-02,449.55,218923
2022-06-03,442.41,107233
2022-06-06,444.1,176244
2022-06-07,449.78,143242
2022-06-08,450.52,176937
2022-06-09,449.62,312264
2022-06-10,444.19,318561
2022-06-13,426.28,501628
2022-06-14,423.93,293913
2022-06-15,433.22,415363
2022-06-16,423.21,499111
2022-06-17,428.44,586964
2022-06-21,448.98,463553
2022-06-22,448.05,433565
2022-06-23,454.64,456884
2022-06-24,456.81,730083
2022-06-27,464.39,281997
2022-06-28,462.19,496872
2022-06-29,468.33,363331
2022-06-30,468.07,572952
2022-07-01,478.96,486115
2022-07-05,472.92,437141
2022-07-06,477.48,511202
2022-07-07,476.35,264077
2022-07-08,483.38,468647
2022-07-11,487.03,391106
2022-07-12,483.17,301744
2022-07-13,473.56,389863
2022-07-14,472.6,394335
2022-07-15,487.54,703063
2022-07-18,484.46,373194
2022-07-19,495.31,304390
2022-07-20,483.69,575761
2022-07-21,485.7,320700
2022-07-22,488.97,247859
2022-07-25,491.79,255511
2022-07-26,492.28,445434
2022-07-27,478.35,984420
2022-07-28,484.01,582293
2022-07-29,482,306559
2022-08-01,474.64,588165
2022-08-02,478.39,332143
2022-08-03,481.8,282895
2022-08-04,479.93,182644
2022-08-05,484.02,242595
2022-08-08,482.53,170329
2022-08-09,487.74,155601
2022-08-10,486,160608
2022-08-11,484.07,277500
2022-08-12,496.88,257974
2022-08-15,498.61,212395
2022-08-16,495.22,233436
2022-08-17,495.72,173273
2022-08-18,495.89,229603
2022-08-19,499.86,247486
2022-08-22,500.92,230960
2022-08-23,493.19,256532
2022-08-24,495.64,184269
2022-08-25,495.27,264946
2022-08-26,486.71,256702
2022-08-29,488.19,220890
2022-08-30,485.66,151328
2022-08-31,481.78,283448
2022-09-01,486.98,226154
2022-09-02,484.4,278588
2022-09-06,479.53,245623
2022-09-07,481.67,504267
2022-09-08,486.36,276791
2022-09-09,478.5,383257
2022-09-12,486.14,302035
2022-09-13,468.29,311265
2022-09-14,458.85,538166
2022-09-15,497.24,1654518
2022-09-16,499.79,644025
2022-09-19,501.07,323026
2022-09-20,502.89,995259
2022-09-21,490.63,450763
2022-09-22,493.91,537363
2022-09-23,486.9,610574
2022-09-26,482.63,320875
2022-09-27,487.31,482882
2022-09-28,493.81,762113
2022-09-29,491.06,361450
2022-09-30,485.19,633821
2022-10-03,499.52,319582
2022-10-04,503.78,289086
2022-10-05,504.71,341399
2022-10-06,499.3,269709
2022-10-07,503.46,422295
2022-10-10,497.04,578788
2022-10-11,498.49,338880
2022-10-12,494.19,259520
2022-10-13,500.16,574900
2022-10-14,500,543955
2022-10-17,498.79,307287
2022-10-18,501.68,329240
2022-10-19,500.21,269920
2022-10-20,505.35,484474
2022-10-21,510.54,467917
2022-10-24,521.94,308397
2022-10-25,529.46,605999
2022-10-26,539.1,557606
2022-10-27,544.5,527835
2022-10-28,554.83,598489
2022-10-31,558.08,534265
2022-11-01,554.49,687930
2022-11-02,559.58,824055
2022-11-03,563,958603
2022-11-04,552.05,792661
2022-11-07,554.93,803225
2022-11-08,557.74,376740
2022-11-09,553.47,354714
2022-11-10,558.3,531998
2022-11-11,528.53,1220824
2022-11-14,530,541123
2022-11-15,512.9,994250
2022-11-16,517.6,420481
2022-11-17,520.26,426168
2022-11-18,529.9,522460
2022-11-21,525.18,509002
2022-11-22,530.8,430482
2022-11-23,538.3,340721
2022-11-25,540.95,172672
2022-11-28,534.29,326327
2022-11-29,533.14,349963
2022-11-30,549.9,707670
2022-12-01,548.37,666185
2022-12-02,546.78,238189
2022-12-05,547.42,238878
2022-12-06,546.35,303938
2022-12-07,549.18,222936
2022-12-08,547.36,262920
2022-12-09,533.42,439106
2022-12-12,529.99,629109
2022-12-13,523.06,701855
2022-12-14,521.51,435309
2022-12-15,508.44,585200
2022-12-16,503.53,580001
2022-12-19,504.84,311210
2022-12-20,501.72,256068
2022-12-21,508.11,241941
2022-12-22,512.43,273809
2022-12-23,513.96,143106
2022-12-27,514.38,161956
2022-12-28,515.31,163312
2022-12-29,513.2,123360
2022-12-30,512.19,123844
2023-01-03,500.49,500951
2023-01-04,492.12,504964
2023-01-05,488.02,622425
2023-01-06,492.54,490435
2023-01-09,481.71,532106
2023-01-10,481.59,467402
2023-01-11,493,390106
2023-01-12,494.29,602787
2023-01-13,491.36,672743
2023-01-17,490.46,379094
2023-01-18,484.75,416002
2023-01-19,491.72,276332
2023-01-20,497.3,503811
2023-01-23,494.55,407696
2023-01-24,500.35,328225
2023-01-25,502.22,349387
2023-01-26,499.36,409421
2023-01-27,481.69,705962
2023-01-30,484.91,724957
2023-01-31,511.7,1122770
2023-02-01,513.28,1052248
2023-02-02,489.77,1544497
2023-02-03,476.57,668192
2023-02-06,486.22,741655
2023-02-07,481,691699
2023-02-08,494.21,613393
2023-02-09,491.93,453462
2023-02-10,498.62,441277
2023-02-13,501.94,231163
2023-02-14,501.68,212684
2023-02-15,498.32,316404
2023-02-16,505.69,289824
2023-02-17,510.14,421613
2023-02-21,503.38,380024
2023-02-22,503.59,246398
2023-02-23,510.65,530976
2023-02-24,507.42,629740
2023-02-27,506.51,458053
2023-02-28,495.02,528756
2023-03-01,496.15,205321
2023-03-02,495.76,326204
2023-03-03,500.21,420702
2023-03-06,499.07,373634
2023-03-07,496.04,277943
2023-03-08,489.31,305709
2023-03-09,486.33,313434
2023-03-10,479.66,439265
2023-03-13,482.48,460306
2023-03-14,481.97,366364
2023-03-15,483.87,296282
2023-03-16,494.38,461027
2023-03-17,495.55,762344
2023-03-20,494.39,404016
2023-03-21,500.87,364925
2023-03-22,498.33,323025
2023-03-23,491.35,374770
2023-03-24,502.43,309195
2023-03-27,506.99,309691
2023-03-28,483.41,966139
2023-03-29,485.75,640432
2023-03-30,488.36,377935
2023-03-31,485.46,545846
2023-04-03,510.25,789164
2023-04-04,503.31,481687
2023-04-05,516.23,607007
2023-04-06,519.97,582601
2023-04-10,524.56,335451
2023-04-11,533.76,353910
2023-04-12,532.05,331681
2023-04-13,535.26,341489
2023-04-14,523.83,441550
2023-04-17,518.82,259588
2023-04-18,512.68,263124
2023-04-19,492.9,769681
2023-04-20,490.31,502142
2023-04-21,491.21,558582
2023-04-24,501.73,490661
2023-04-25,501.69,468821
2023-04-26,505.47,665027
2023-04-27,525.28,454224
2023-04-28,530.49,314279
2023-05-01,535.13,275998
2023-05-02,533.06,432083
2023-05-03,529.79,276647
2023-05-04,528.5,247192
2023-05-05,535.02,201335
2023-05-08,535.96,353316
2023-05-09,530.2,424523
2023-05-10,529.63,241105
2023-05-11,528.99,265918
2023-05-12,527.35,220754
2023-05-15,522.5,202127
2023-05-16,518.35,325656
2023-05-17,520.29,281051
2023-05-18,513.87,287622
2023-05-19,513.52,333232
2023-05-22,513.98,178361
2023-05-23,506.93,457259
2023-05-24,506.63,228146
2023-05-25,500.07,326575
2023-05-26,496.6,203895
2023-05-30,495.1,292178
2023-05-31,501.87,357020
2023-06-01,515.15,344548
2023-06-02,520.78,385248
2023-06-05,523.94,193323
2023-06-06,511.12,470800
2023-06-07,504.69,427964
2023-06-08,509.83,289301
2023-06-09,513.34,299499
2023-06-12,513.23,188394
2023-06-13,512.63,433771
2023-06-14,455,4488503
2023-06-15,463.85,1729256
2023-06-16,445.65,3201711
2023-06-20,446.71,1240563
2023-06-21,452.71,865586
2023-06-22,456.44,661531
2023-06-23,445.95,797918
2023-06-26,446.4,545262
2023-06-27,445.92,579210
2023-06-28,444.83,414750
2023-06-29,443.86,407174
2023-06-30,447.13,694193
2023-07-03,446.27,285789
2023-07-05,444.99,785859
2023-07-06,440.99,733235
2023-07-07,430.14,1385998
2023-07-10,434.7,1021924
2023-07-11,437.22,693468
2023-07-12,425.08,2086487
2023-07-13,424.29,1626891
2023-07-14,434.93,1888419
2023-07-17,434.41,608184
2023-07-18,440.73,1348937
2023-07-19,447.26,1225760
2023-07-20,447.41,906354
2023-07-21,456.89,1295820
2023-07-24,453.44,779882
2023-07-25,454.34,962706
2023-07-26,448.21,728232
2023-07-27,451,1104590
2023-07-28,453.3,927721
2023-07-31,456.83,609652
2023-08-01,458.11,667227
2023-08-02,483.75,1845925
2023-08-03,487.15,1018726
2023-08-04,484.28,727446
2023-08-07,494.67,841168
2023-08-08,493.22,456538
2023-08-09,493.38,374160
2023-08-10,495.03,383918
2023-08-11,493.91,319842
2023-08-14,497.21,283588
2023-08-15,495.31,224768
2023-08-16,494.66,380178
2023-08-17,488.74,629635
2023-08-18,490.39,315852
2023-08-21,491.28,315697
2023-08-22,484.19,376740
2023-08-23,481.43,334370
2023-08-24,482.63,454746
2023-08-25,478.94,235040
2023-08-28,480.64,219291
2023-08-29,481.3,220532
2023-08-30,475.26,538688
2023-08-31,461.63,559386
2023-09-01,460.61,459809
2023-09-05,470.22,575993
2023-09-06,465.07,469009
2023-09-07,471.98,373141
2023-09-08,467.73,308159
2023-09-11,467.18,439513
2023-09-12,469.07,362425
2023-09-13,472.5,688762
2023-09-14,471.57,300604
2023-09-15,470.77,373416
2023-09-18,474.02,234842
2023-09-19,473.8,424821
2023-09-20,484.77,490531
