date,close,volume
2021-07-06,153.41,10167235
2021-07-07,153.59,8550607
2021-07-08,150.94,10801116
2021-07-09,155.77,8934018
2021-07-12,158,13804595
2021-07-13,155.65,17377216
2021-07-14,155.12,10777646
2021-07-15,155.46,8028497
2021-07-16,151.91,9773770
2021-07-19,146.97,15725721
2021-07-20,149.71,9977480
2021-07-21,152.86,8349427
2021-07-22,150.93,6914335
2021-07-23,150.64,6915435
2021-07-26,151.65,5654090
2021-07-27,151.45,7080359
2021-07-28,151.7,5954679
2021-07-29,153,6022531
2021-07-30,151.78,6362446
2021-08-02,151.17,7170279
2021-08-03,152.89,7194223
2021-08-04,151.24,6751065
2021-08-05,153.15,6255149
2021-08-06,157.5,9141525
2021-08-09,157.33,6369126
2021-08-10,159.26,5806661
2021-08-11,161.16,6165233
2021-08-12,161.79,6172652
2021-08-13,159.98,5670715
2021-08-16,158.93,5662892
2021-08-17,157.01,6483988
2021-08-18,155.58,5347262
2021-08-19,154.28,6173354
2021-08-20,154.72,4606467
2021-08-23,156.7,5053723
2021-08-24,157.67,5054223
2021-08-25,160.92,7937845
2021-08-26,161.75,7964523
2021-08-27,163.05,5559341
2021-08-30,160.44,5390162
2021-08-31,159.95,6801853
2021-09-01,159.72,5692123
2021-09-02,160.46,5645420
2021-09-03,159.49,4991605
2021-09-07,159.21,5592703
2021-09-08,158.5,4931105
2021-09-09,159.19,4791254
2021-09-10,157.36,4983395
2021-09-13,159.86,5512517
2021-09-14,157.07,7285833
2021-09-15,158.16,6413390
2021-09-16,158.09,6159789
2021-09-17,157.68,8965014
2021-09-20,152.96,9794617
2021-09-21,152.98,5204564
2021-09-22,155.91,6682668
2021-09-23,161.18,8397904
2021-09-24,163.04,6636930
2021-09-27,166.98,9156053
2021-09-28,166.08,8772391
2021-09-29,165.95,4700649
2021-09-30,163.69,7430958
2021-10-01,167.13,6920180
2021-10-04,166.95,8608440
2021-10-05,168.66,7644560
2021-10-06,169.02,5255910
2021-10-07,170.09,5579279
2021-10-08,170.22,5333021
2021-10-11,166.64,8075109
2021-10-12,165.36,7790937
2021-10-13,161,15589713
2021-10-14,163.47,9893914
2021-10-15,166.61,9250884
2021-10-18,166.55,5951963
2021-10-19,168.57,5291917
2021-10-20,170.84,5161993
2021-10-21,169.5,5114652
2021-10-22,171.78,4895339
2021-10-25,170.94,5284925
2021-10-26,171.4,4431856
2021-10-27,167.83,6245601
2021-10-28,170.36,4525569
