date,close,volume
2021-07-06,352.78,8643699
2021-07-07,350.49,10086792
2021-07-08,345.65,9007658
2021-07-09,350.42,7185232
2021-07-12,353.16,6242062
2021-07-13,352.09,7084131
2021-07-14,347.63,8789157
2021-07-15,344.46,9655364
2021-07-16,341.16,6868417
2021-07-19,336.95,8744185
2021-07-20,341.66,6293208
2021-07-21,346.23,5269553
2021-07-22,351.19,7519559
2021-07-23,369.79,24489939
2021-07-26,372.46,9502993
2021-07-27,367.81,9705692
2021-07-28,373.28,15840146
2021-07-29,358.32,22123484
2021-07-30,356.3,10442698
2021-08-02,351.95,8726195
2021-08-03,351.24,8330117
2021-08-04,358.92,8452935
2021-08-05,362.97,6463289
2021-08-06,363.51,5204247
2021-08-09,361.61,4685416
2021-08-10,361.13,4199012
2021-08-11,359.96,4734102
2021-08-12,362.65,4366278
2021-08-13,363.18,4327854
2021-08-16,366.56,7561689
2021-08-17,358.45,8101826
2021-08-18,355.45,5797197
2021-08-19,355.12,7799978
2021-08-20,359.37,5293052
2021-08-23,363.35,6881021
2021-08-24,365.51,5711346
2021-08-25,368.39,5580347
2021-08-26,364.38,4523145
2021-08-27,372.63,6811218
2021-08-30,380.66,9226992
2021-08-31,379.38,6612826
2021-09-01,382.05,7412297
2021-09-02,375.28,9542012
2021-09-03,376.26,4552201
2021-09-07,382.18,7347536
2021-09-08,377.57,7283248
2021-09-09,378,6023197
2021-09-10,378.69,7199400
2021-09-13,376.51,7483019
2021-09-14,376.53,5026451
2021-09-15,373.92,11410195
2021-09-16,373.06,7208223
2021-09-17,364.72,13461721
2021-09-20,355.7,12362869
2021-09-21,357.48,7418170
2021-09-22,343.21,29644300
2021-09-23,345.96,15540821
2021-09-24,352.96,12123349
2021-09-27,353.58,10341100
2021-09-28,340.65,14086579
2021-09-29,339.61,9321049
2021-09-30,339.39,10324320
2021-10-01,343.01,9286064
2021-10-04,326.23,29601400
2021-10-05,332.96,25473485
2021-10-06,333.64,19322700
2021-10-07,329.22,20119690
2021-10-08,330.05,10607582
2021-10-11,325.45,9564962
2021-10-12,323.77,22033086
2021-10-13,324.54,8785653
2021-10-14,328.53,8441830
2021-10-15,324.76,14678960
2021-10-18,335.34,13723853
2021-10-19,339.99,12577098
2021-10-20,340.78,9045770
2021-10-21,341.88,7299191
2021-10-22,324.61,24243542
2021-10-25,328.69,21177066
2021-10-26,315.81,47028182
2021-10-27,312.22,20574830
2021-10-28,316.92,38295960
2021-10-29,323.57,25843611
2021-11-01,329.98,19136431
2021-11-02,328.08,19166951
2021-11-03,331.62,13431411
2021-11-04,335.85,14232908
2021-11-05,341.13,16559288
2021-11-08,338.62,10765094
2021-11-09,335.37,10778025
2021-11-10,327.64,13472450
2021-11-11,327.74,7988559
2021-11-12,340.89,14736549
2021-11-15,347.56,16122731
2021-11-16,342.96,10964888
2021-11-17,340.77,8133805
2021-11-18,338.69,11060384
2021-11-19,345.3,18274217
2021-11-22,341.01,17638561
2021-11-23,337.25,10949756
2021-11-24,341.06,8487530
2021-11-26,333.12,7876200
2021-11-29,338.03,10647050
2021-11-30,324.46,15207060
2021-12-01,310.6,20285785
2021-12-02,310.39,15777784
2021-12-03,306.84,17707648
2021-12-06,317.87,13195587
2021-12-07,322.81,11018096
2021-12-08,330.56,11835530
2021-12-09,329.82,10730751
2021-12-10,329.75,9135149
2021-12-13,334.49,15362721
2021-12-14,333.74,12383812
2021-12-15,341.66,15400853
2021-12-16,334.9,12792833
2021-12-17,333.79,12979399
2021-12-20,325.45,10396818
2021-12-21,334.2,9717372
2021-12-22,330.45,10892211
2021-12-23,335.24,9104649
2021-12-27,346.18,10276703
2021-12-28,346.22,10028644
2021-12-29,342.94,6411509
2021-12-30,344.36,6673717
2021-12-31,336.35,7405119
2022-01-03,338.54,7526506
2022-01-04,336.53,8745081
2022-01-05,324.17,11172728
2022-01-06,332.46,16819511
2022-01-07,331.79,8838284
2022-01-10,328.07,14809005
2022-01-11,334.37,10328229
2022-01-12,333.26,8119739
2022-01-13,326.48,8502136
2022-01-14,331.9,10277434
2022-01-18,318.15,13199279
2022-01-19,319.59,11713912
2022-01-20,316.56,9732804
2022-01-21,303.17,17109114
2022-01-24,308.71,24114854
2022-01-25,300.15,14969569
2022-01-26,294.63,17029325
2022-01-27,294.64,13247111
2022-01-28,301.71,13754631
2022-01-31,313.26,11488091
2022-02-01,319,9916923
2022-02-02,323,23199690
2022-02-03,237.76,128339887
2022-02-04,237.09,61501237
2022-02-07,224.91,63592622
2022-02-08,220.18,69656542
2022-02-09,232,61879038
2022-02-10,228.07,32844172
2022-02-11,219.55,30510763
2022-02-14,217.7,26372314
2022-02-15,221,28779035
2022-02-16,216.54,30230452
2022-02-17,207.71,26103259
2022-02-18,206.16,24290924
2022-02-22,202.08,27085475
2022-02-23,198.45,31245647
2022-02-24,207.6,35756621
2022-02-25,210.48,25210802
2022-02-28,211.03,20465595
2022-03-01,203.49,16881059
2022-03-02,208.11,19825729
2022-03-03,202.97,18507263
2022-03-04,200.06,21862037
2022-03-07,187.47,25772317
2022-03-08,190.29,24004489
2022-03-09,198.5,21889284
2022-03-10,195.21,15275093
2022-03-11,187.61,22835244
2022-03-14,186.63,20527472
2022-03-15,192.03,20130719
2022-03-16,203.63,24662469
2022-03-17,207.84,19321124
2022-03-18,216.49,26868334
2022-03-21,211.49,18677587
2022-03-22,216.65,20992913
2022-03-23,213.46,15413801
2022-03-24,219.57,21137312
2022-03-25,221.82,27277019
2022-03-28,223.59,16295443
2022-03-29,229.86,21409169
2022-03-30,227.85,18098348
2022-03-31,222.36,14072595
2022-04-01,224.85,13532801
2022-04-04,233.89,18026910
2022-04-05,231.84,21322976
2022-04-06,223.3,19958481
2022-04-07,222.95,12380066
2022-04-08,222.33,12104563
2022-04-11,216.46,13695046
2022-04-12,214.14,13399494
2022-04-13,214.99,12905392
2022-04-14,210.18,11222977
2022-04-18,210.77,11345065
2022-04-19,217.31,13948844
2022-04-20,200.42,31487578
2022-04-21,188.07,35389254
2022-04-22,184.11,24442215
2022-04-25,186.99,20375786
2022-04-26,180.95,20829457
2022-04-27,174.95,41428682
2022-04-28,205.73,75786851
2022-04-29,200.47,36179629
2022-05-02,211.13,38125225
2022-05-03,212.03,32212453
2022-05-04,223.41,29980917
2022-05-05,208.28,29389911
2022-05-06,203.77,25117329
2022-05-09,196.21,24113477
2022-05-10,197.65,23782105
2022-05-11,188.74,20837626
2022-05-12,191.24,27387890
2022-05-13,198.62,16320205
2022-05-16,200.04,19337094
2022-05-17,202.62,17354013
2022-05-18,192.24,15781477
2022-05-19,191.29,17131702
2022-05-20,193.54,22109912
2022-05-23,196.23,15872375
2022-05-24,181.28,37252049
2022-05-25,183.83,19564333
2022-05-26,191.63,15849527
2022-05-27,195.13,16143710
2022-05-31,193.64,14909166
2022-06-01,188.64,25892412
2022-06-02,198.86,23221892
2022-06-03,190.78,13214509
2022-06-06,194.25,23687144
2022-06-07,195.65,13326009
2022-06-08,196.64,16022029
2022-06-09,184,16957238
2022-06-10,175.57,17180370
2022-06-13,164.26,20700615
2022-06-14,163.73,17491291
2022-06-15,169.35,20529819
2022-06-16,160.87,17280043
2022-06-17,163.74,16956763
2022-06-21,157.05,39062927
2022-06-22,155.85,34120207
2022-06-23,158.75,29358665
2022-06-24,170.16,30164823
2022-06-27,169.49,21222762
2022-06-28,160.68,19737107
2022-06-29,163.94,21397440
2022-06-30,161.25,26460527
2022-07-01,160.03,24605134
2022-07-05,168.19,21290552
2022-07-06,169.77,16927866
2022-07-07,172.19,17775089
2022-07-08,170.88,14536904
2022-07-11,162.88,15118407
2022-07-12,163.27,11468836
2022-07-13,163.49,10886487
2022-07-14,158.05,15737345
2022-07-15,164.7,15061544
2022-07-18,167.23,16164290
2022-07-19,175.78,18307415
2022-07-20,183.09,17896739
2022-07-21,183.17,18138781
2022-07-22,169.27,31515785
2022-07-25,166.65,17906957
2022-07-26,159.15,18611541
2022-07-27,169.58,24640213
2022-07-28,160.72,54050923
2022-07-29,159.1,30752566
2022-08-01,159.93,31180933
2022-08-02,160.19,19654540
2022-08-03,168.8,23422603
2022-08-04,170.57,16978879
2022-08-05,167.11,19246247
2022-08-08,170.25,20623970
2022-08-09,168.53,12971548
2022-08-10,178.34,22001915
2022-08-11,177.49,17318040
2022-08-12,180.5,14698576
2022-08-15,180.89,11464395
2022-08-16,179.47,14704233
2022-08-17,174.85,14385741
2022-08-18,174.66,14029334
2022-08-19,167.96,18377538
2022-08-22,163.05,13195668
2022-08-23,161.11,12713320
2022-08-24,163.26,14447549
2022-08-25,168.78,10748122
2022-08-26,161.78,16800130
2022-08-29,159.17,12573019
2022-08-30,157.16,13937197
2022-08-31,162.93,28420122
2022-09-01,165.36,22993487
2022-09-02,160.32,15956552
2022-09-06,158.54,13440548
2022-09-07,160.39,11429483
2022-09-08,162.06,16551443
2022-09-09,169.15,16310768
2022-09-12,168.96,15984083
2022-09-13,153.13,31782721
2022-09-14,151.47,31703073
2022-09-15,149.55,25672801
2022-09-16,146.29,27471090
2022-09-19,148.02,16239311
2022-09-20,146.09,17073605
