date,close,volume
2021-07-06,75.13,4898352
2021-07-07,75.33,3785112
2021-07-08,75.13,4369007
2021-07-09,74.99,3797897
2021-07-12,75.09,2707093
2021-07-13,74.86,3694960
2021-07-14,75.7,4851639
2021-07-15,76.82,5632456
2021-07-16,77.92,6767095
2021-07-19,76.99,7144997
2021-07-20,77.17,4175908
2021-07-21,75.88,5675209
2021-07-22,76.12,4175639
2021-07-23,77.2,3396247
2021-07-26,76.91,3441830
2021-07-27,77.86,4758826
2021-07-28,77.85,3755591
2021-07-29,78.16,2865412
2021-07-30,77.9,3285992
2021-08-02,78.81,4040085
2021-08-03,79.42,4056062
2021-08-04,79.87,4669463
2021-08-05,80.49,3704394
2021-08-06,80.61,2739989
2021-08-09,80.56,3402751
2021-08-10,80.53,2778949
2021-08-11,82.37,7243629
2021-08-12,83,4837143
2021-08-13,83.45,2729801
2021-08-16,83.95,6234130
2021-08-17,83.96,3296597
2021-08-18,84.42,6155222
2021-08-19,84.55,4636042
2021-08-20,86.28,5393663
2021-08-23,84.4,6034312
2021-08-24,84.14,3822812
2021-08-25,84.53,3866449
2021-08-26,83.81,2663290
2021-08-27,83.41,3793642
2021-08-30,83.95,3357672
2021-08-31,83.99,3481892
2021-09-01,85.34,4000714
2021-09-02,86.48,3372827
2021-09-03,85.69,2582110
2021-09-07,85.03,3819741
2021-09-08,86.44,4159148
2021-09-09,85.84,2633831
2021-09-10,84.93,3595425
2021-09-13,84.58,4220324
2021-09-14,84.64,3068176
2021-09-15,84.61,3551605
2021-09-16,84,3447691
2021-09-17,81.64,9191011
2021-09-20,81.69,5232339
2021-09-21,81.92,3962417
2021-09-22,81.9,3585497
2021-09-23,81.27,3839436
2021-09-24,80.7,3975551
2021-09-27,78.76,5802383
2021-09-28,77.27,6067558
2021-09-29,78.35,5126367
2021-09-30,78.52,6341883
2021-10-01,79.21,5518868
2021-10-04,79.36,3943357
2021-10-05,79.48,2949555
2021-10-06,81.18,4272936
2021-10-07,80.92,3956121
2021-10-08,80.21,2297515
2021-10-11,77.83,6325921
2021-10-12,78.87,5164596
2021-10-13,80.19,4425947
2021-10-14,81.46,4606076
2021-10-15,81.67,4812483
2021-10-18,80.99,3137918
2021-10-19,82.03,3692834
2021-10-20,83.92,4962916
2021-10-21,83.81,2917782
2021-10-22,84.42,2756832
2021-10-25,84.29,2442477
2021-10-26,85.47,4307877
2021-10-27,85.01,2971333
2021-10-28,86.42,3783490
2021-10-29,85.33,3851921
2021-11-01,85.59,2784399
2021-11-02,85.42,4564331
2021-11-03,85.24,2796312
