date,close,volume
2021-07-06,122.54,1374952
2021-07-07,123.29,1863047
2021-07-08,123.11,1082445
2021-07-09,125.39,1419480
2021-07-12,127.41,1842284
2021-07-13,125.61,926321
2021-07-14,126.23,1197497
2021-07-15,126.93,780456
2021-07-16,127.28,1585516
2021-07-19,126.78,1542824
2021-07-20,127.99,1167531
2021-07-21,126.9,842244
2021-07-22,127.17,680072
2021-07-23,127.89,856674
2021-07-26,127.98,715844
2021-07-27,129.19,875727
2021-07-28,127.63,1122677
2021-07-29,127.89,659536
2021-07-30,128.04,1041660
2021-08-02,128.46,980423
2021-08-03,129.67,1058852
2021-08-04,128.9,803624
2021-08-05,130.45,918024
2021-08-06,129.71,2187986
2021-08-09,130.01,446208
2021-08-10,129.35,1041761
2021-08-11,128.9,1708357
2021-08-12,130.07,755543
2021-08-13,131.98,919991
2021-08-16,133.69,1565066
2021-08-17,134.08,1690012
2021-08-18,132.5,1669956
2021-08-19,133.15,794538
2021-08-20,134.25,944038
2021-08-23,133.39,768474
2021-08-24,130.75,1195355
2021-08-25,130.53,1076406
2021-08-26,130.62,1765039
2021-08-27,131.31,787284
2021-08-30,133.73,776195
2021-08-31,134.66,1052993
2021-09-01,137.79,2000659
2021-09-02,138.47,1235431
2021-09-03,138.99,940137
2021-09-07,137.65,1479206
2021-09-08,138.54,1062620
2021-09-09,134.72,1305058
2021-09-10,133.63,1019065
2021-09-13,132.78,896018
2021-09-14,132.55,940380
2021-09-15,133.29,1173303
2021-09-16,132.58,872924
2021-09-17,130.11,2149631
2021-09-20,129.06,1084162
2021-09-21,128.85,969760
2021-09-22,130.01,852261
2021-09-23,128.84,1220716
2021-09-24,127.9,1098426
2021-09-27,126.19,1039763
2021-09-28,125.58,1462161
2021-09-29,126.44,865857
2021-09-30,125.43,1688602
2021-10-01,126.43,844385
2021-10-04,126.83,1180605
2021-10-05,126.43,943197
2021-10-06,127.79,1124797
2021-10-07,129.38,1371014
2021-10-08,128.53,573722
2021-10-11,128.94,873596
2021-10-12,132.29,1488505
2021-10-13,133.9,1221752
2021-10-14,135.73,919246
2021-10-15,136.98,1836349
2021-10-18,139.79,1545891
2021-10-19,139.12,980476
2021-10-20,143.42,1546289
2021-10-21,144.94,1817631
2021-10-22,144,1293644
2021-10-25,145.1,997720
2021-10-26,146.23,852006
2021-10-27,143.86,1154586
2021-10-28,146.67,938553
2021-10-29,144.96,1378252
2021-11-01,144.73,960681
2021-11-02,147.03,937560
2021-11-03,147.65,673075
2021-11-04,147.87,864666
2021-11-05,146.69,1029756
2021-11-08,148.07,581836
2021-11-09,148.45,626392
2021-11-10,148.77,794901
2021-11-11,148.91,562789
2021-11-12,148.81,729527
2021-11-15,150.2,726558
2021-11-16,149.47,649197
2021-11-17,150.38,888795
2021-11-18,150.58,753164
2021-11-19,150.22,936297
2021-11-22,150.9,741667
2021-11-23,152.58,997983
2021-11-24,154.51,658865
2021-11-26,149.88,799590
2021-11-29,153.28,1492772
2021-11-30,150.75,1437936
2021-12-01,151.7,1526213
2021-12-02,154.42,1223065
2021-12-03,154.66,1368272
2021-12-06,156.55,1250169
2021-12-07,159.3,1132888
2021-12-08,159.44,1083955
2021-12-09,157.56,1063285
2021-12-10,159.08,976039
2021-12-13,161.08,1203152
2021-12-14,158.73,1507915
2021-12-15,162.56,1330543
2021-12-16,163.25,1372529
2021-12-17,161.18,2307735
2021-12-20,161.39,884759
2021-12-21,160.79,1014015
2021-12-22,162.26,844466
2021-12-23,161.75,930373
2021-12-27,165.89,643505
2021-12-28,165.79,709984
2021-12-29,167.68,689663
2021-12-30,167.97,726002
2021-12-31,168.36,782744
2022-01-03,164.9,1793695
2022-01-04,161,2383239
2022-01-05,157.65,1862953
2022-01-06,156.57,1811111
2022-01-07,153.73,1843959
2022-01-10,153.02,1962940
2022-01-11,152.99,1437760
2022-01-12,153.24,1323005
2022-01-13,153.15,1100998
2022-01-14,152.74,996667
2022-01-18,153.43,1704015
2022-01-19,153.59,2193500
2022-01-20,154.14,1608408
2022-01-21,155.43,2098488
2022-01-24,153.31,2775803
2022-01-25,153.96,2263443
2022-01-26,151.72,2088769
2022-01-27,148.61,1874427
2022-01-28,155.07,1997256
2022-01-31,156.82,1480412
2022-02-01,153.52,1717421
2022-02-02,157.33,1023176
2022-02-03,156.44,910256
2022-02-04,153.49,894398
2022-02-07,152.05,1154494
2022-02-08,151.19,1159984
2022-02-09,155.37,1270802
2022-02-10,148.43,1841728
2022-02-11,146.31,2024012
2022-02-14,145.34,1106683
2022-02-15,145.62,1289997
2022-02-16,144.38,1134365
2022-02-17,143.28,1518283
2022-02-18,142.55,1021574
2022-02-22,142.37,1616062
2022-02-23,140.76,1252616
2022-02-24,143.33,1829457
2022-02-25,148.45,1535753
2022-02-28,145.85,1147524
2022-03-01,145.76,1673738
2022-03-02,147.64,808864
2022-03-03,149.58,884405
2022-03-04,150.84,1423848
2022-03-07,148.91,1358829
2022-03-08,146.99,1164215
2022-03-09,150.48,927242
2022-03-10,151.08,801339
2022-03-11,147.83,998998
2022-03-14,149.17,1121819
2022-03-15,151.84,1143267
2022-03-16,154.57,1860449
2022-03-17,156.66,1163259
2022-03-18,160.16,2939521
2022-03-21,158.92,1177589
2022-03-22,158.67,1441314
2022-03-23,157.23,1182154
2022-03-24,155.89,1123424
2022-03-25,157.33,958705
2022-03-28,160.35,1046965
2022-03-29,164.7,1590316
2022-03-30,164.14,1031733
2022-03-31,161.48,1626667
2022-04-01,165.8,1570563
2022-04-04,163.78,1016579
2022-04-05,166.28,1709167
2022-04-06,170.11,1795404
2022-04-07,168.83,1526283
2022-04-08,168.65,876389
2022-04-11,165.73,1541918
2022-04-12,165.33,1847123
2022-04-13,165,1642310
2022-04-14,162.7,1299546
2022-04-18,163,1254929
2022-04-19,169.56,2497836
2022-04-20,172.67,2404424
2022-04-21,170.78,1348183
2022-04-22,168.73,1589723
2022-04-25,167.73,1482475
2022-04-26,165.63,1220454
2022-04-27,167.67,1475257
2022-04-28,173.01,1649354
2022-04-29,160.29,5845195
2022-05-02,153.13,3716465
2022-05-03,152.36,2516152
2022-05-04,152.28,3334017
2022-05-05,144.98,3529308
2022-05-06,140.88,4134307
2022-05-09,132.37,3868611
2022-05-10,125.41,7622315
2022-05-11,123.74,5404604
2022-05-12,123.93,5279142
2022-05-13,128.35,3797130
2022-05-16,125.25,2210349
2022-05-17,125.9,2279766
2022-05-18,119.53,2984631
2022-05-19,119.72,2923559
2022-05-20,119.72,2472260
2022-05-23,120.48,3637498
2022-05-24,120.08,3303474
2022-05-25,120.03,2187248
2022-05-26,122.36,3419555
2022-05-27,127.26,2507889
2022-05-31,127.48,4190939
2022-06-01,125.86,2608001
2022-06-02,129.54,2332737
2022-06-03,127.58,2132847
2022-06-06,127.87,1779956
2022-06-07,129.68,1895975
2022-06-08,124.77,1946495
2022-06-09,122.17,1683464
2022-06-10,117.24,2593149
2022-06-13,108.43,9740379
2022-06-14,110.66,3775360
2022-06-15,115.09,4567374
2022-06-16,111.79,2666502
2022-06-17,110.36,3199022
2022-06-21,112.36,1975737
2022-06-22,115.46,2369140
2022-06-23,118.24,2064737
2022-06-24,122.59,2702479
2022-06-27,120.21,2137162
2022-06-28,118.96,1889119
2022-06-29,118.31,1592860
2022-06-30,117.65,2175998
2022-07-01,120.03,1478873
2022-07-05,121.43,2201896
2022-07-06,121.46,1589304
2022-07-07,122.57,2263712
2022-07-08,121.58,981718
2022-07-11,121.78,1191630
2022-07-12,120.91,1190093
2022-07-13,120.76,1513680
2022-07-14,118.13,1442352
2022-07-15,121.01,1524012
2022-07-18,119.2,2539210
2022-07-19,125.11,2139175
2022-07-20,124.57,1774312
2022-07-21,125.68,1667400
2022-07-22,126.9,1402845
2022-07-25,127.51,1554456
2022-07-26,127.59,2291125
2022-07-27,127.39,1129555
2022-07-28,132.4,1633470
2022-07-29,132.56,1525170
2022-08-01,130.98,1064303
2022-08-02,129.37,1345610
2022-08-03,130.72,1711416
2022-08-04,130.75,1022111
2022-08-05,131.39,903495
2022-08-08,131.22,1498881
2022-08-09,132.9,1078404
2022-08-10,134.41,1342442
2022-08-11,134.23,908694
2022-08-12,137.24,1444435
2022-08-15,138.38,1038854
2022-08-16,137.11,951851
2022-08-17,137.39,675881
2022-08-18,136.63,910301
2022-08-19,134.08,1252922
2022-08-22,130.94,1025555
2022-08-23,128.46,1092168
2022-08-24,131.12,1565542
2022-08-25,132.78,997885
2022-08-26,128.35,819558
2022-08-29,127.29,1240889
2022-08-30,125.65,947572
2022-08-31,124.51,1444706
2022-09-01,124.3,1914777
2022-09-02,121.89,1206913
2022-09-06,123.8,1651787
2022-09-07,126.63,1129391
2022-09-08,127.91,1488495
2022-09-09,129.63,1601763
2022-09-12,130.2,1190440
2022-09-13,125.08,1828322
2022-09-14,121.08,2348722
2022-09-15,116.22,2910065
2022-09-16,113.67,3691141
2022-09-19,112.8,2626087
2022-09-20,110.93,3220890
2022-09-21,108.55,2939626
2022-09-22,108.54,3016042
2022-09-23,108.6,3536124
2022-09-26,104.16,4413231
2022-09-27,102.28,3866211
2022-09-28,103.93,3797029
2022-09-29,101.19,4317022
2022-09-30,101.6,8299687
2022-10-03,104.36,2852820
2022-10-04,105.99,3675313
2022-10-05,105.44,3238534
2022-10-06,101.92,2787783
2022-10-07,100.36,3960078
2022-10-10,98.9,2287410
2022-10-11,100.63,4336205
2022-10-12,100.43,3175872
2022-10-13,102.52,4251653
2022-10-14,99.53,2629147
2022-10-17,105.23,2501338
2022-10-18,105.85,3325901
2022-10-19,102.01,3477618
2022-10-20,102.46,2544371
2022-10-21,103.08,2353037
2022-10-24,103.37,1954612
2022-10-25,108.33,2680856
2022-10-26,109.87,3340583
2022-10-27,111.01,2851494
2022-10-28,112.98,2541412
2022-10-31,110.75,2145392
2022-11-01,108.55,2712730
2022-11-02,106.74,3125042
2022-11-03,108.01,3794774
2022-11-04,107.62,2204668
2022-11-07,108.93,1740429
2022-11-08,109.75,1393278
2022-11-09,108.79,2158028
2022-11-10,118.34,2125555
2022-11-11,116.13,1976128
2022-11-14,112.5,1406334
2022-11-15,112.75,1289523
2022-11-16,113.65,1723475
2022-11-17,112.31,1928248
2022-11-18,114.56,1688544
2022-11-21,114.95,1611590
2022-11-22,115.78,1134684
2022-11-23,115.53,831756
2022-11-25,116.39,545409
2022-11-28,111.46,1775587
2022-11-29,113.81,1353702
2022-11-30,117.79,2079311
2022-12-01,117.1,1306474
2022-12-02,116.94,1707009
2022-12-05,114.26,1107009
2022-12-06,114.6,1885759
2022-12-07,116,1611563
2022-12-08,117.6,3062472
2022-12-09,116.32,1308807
2022-12-12,118.03,1324822
2022-12-13,121.09,1842495
2022-12-14,121.58,2340137
2022-12-15,118.59,2164004
2022-12-16,112.24,5111058
2022-12-19,112.07,1394623
2022-12-20,112.18,1284403
2022-12-21,113.94,1475993
2022-12-22,113.27,1188270
2022-12-23,113.62,853149
2022-12-27,113.29,898998
2022-12-28,110.45,1466010
2022-12-29,113.97,1293547
2022-12-30,112.73,900994
2023-01-03,112.69,1119677
2023-01-04,116.96,1533841
2023-01-05,112.85,1783106
2023-01-06,116.65,1746363
2023-01-09,116.06,1456795
2023-01-10,116.05,1197955
2023-01-11,120.95,1403858
2023-01-12,122.12,1531878
2023-01-13,121.9,1354817
2023-01-17,121.42,1761839
2023-01-18,122.65,2448730
2023-01-19,121.29,2339892
2023-01-20,122.82,2057460
2023-01-23,126.07,1707370
2023-01-24,126.4,1179435
2023-01-25,125.69,1396122
2023-01-26,128.06,1149067
2023-01-27,129.84,1432734
2023-01-30,127.79,1321869
2023-01-31,129.28,1979773
2023-02-01,130.9,1494807
2023-02-02,134.49,1659450
2023-02-03,131.62,1579997
2023-02-06,131.44,1544078
2023-02-07,130.27,1994840
2023-02-08,129.8,1038408
2023-02-09,128.04,1340042
2023-02-10,128.09,1065130
2023-02-13,129.29,743308
2023-02-14,127.73,954704
2023-02-15,127.53,911488
2023-02-16,125.79,885058
2023-02-17,125.32,1075149
2023-02-21,123.48,1048495
2023-02-22,122.9,1167571
2023-02-23,124.01,1036699
2023-02-24,121.38,1264100
2023-02-27,122.91,1266856
2023-02-28,123.4,2023113
2023-03-01,121.13,2371431
2023-03-02,124.62,1288791
2023-03-03,126.95,1317426
2023-03-06,127.16,994252
2023-03-07,123.82,983409
2023-03-08,125.06,950262
2023-03-09,121.3,1272670
2023-03-10,116.98,1774925
2023-03-13,118.37,1842073
2023-03-14,119.83,2011909
2023-03-15,120.01,2262479
2023-03-16,120.09,2059802
2023-03-17,116.03,2924866
2023-03-20,118.7,1365518
2023-03-21,118.36,1952561
2023-03-22,114.12,1528657
2023-03-23,114.15,2069896
2023-03-24,117.03,1969911
2023-03-27,117.06,1281402
2023-03-28,116.65,908925
2023-03-29,119.88,1364783
2023-03-30,121.92,1840269
2023-03-31,124.77,2093166
2023-04-03,123.77,1371358
2023-04-04,124.08,1121802
2023-04-05,122.27,1362082
2023-04-06,122.75,1018045
2023-04-10,123.74,1326747
2023-04-11,122.67,1363532
2023-04-12,122.81,1115477
2023-04-13,121.92,1263529
2023-04-14,119.76,1727742
2023-04-17,123.14,1926911
2023-04-18,123.71,1792709
2023-04-19,125.16,1668451
2023-04-20,123.25,1128310
2023-04-21,123.58,1516945
2023-04-24,123.19,1246015
2023-04-25,120.64,1454786
2023-04-26,119.07,1246823
2023-04-27,122.18,1887868
2023-04-28,125.25,1557990
2023-05-01,122.4,894462
2023-05-02,122.48,1289703
2023-05-03,124.16,1774944
2023-05-04,124.88,1611590
2023-05-05,127.25,1028094
2023-05-08,127.37,1145487
2023-05-09,125.92,1296002
2023-05-10,128.08,1321296
2023-05-11,125.74,1190190
2023-05-12,125.17,709889
2023-05-15,125.28,726527
2023-05-16,121.25,1622552
2023-05-17,122.7,1285002
2023-05-18,122.06,1029068
2023-05-19,123.06,920333
2023-05-22,124.23,1104731
2023-05-23,123.54,1848922
2023-05-24,121.02,1242190
2023-05-25,121.98,1348611
2023-05-26,124.95,1171143
2023-05-30,124.31,1472649
2023-05-31,124.55,2183345
2023-06-01,122.64,1465034
2023-06-02,124.92,1353102
2023-06-05,124.63,742657
2023-06-06,125.83,1068725
2023-06-07,128.06,1297372
2023-06-08,124.91,1499992
2023-06-09,121.31,1763375
2023-06-12,119.62,2189522
2023-06-13,121.35,1241617
2023-06-14,122.27,1138797
2023-06-15,121.72,1064634
2023-06-16,122.63,2628154
2023-06-20,120.84,1369615
2023-06-21,120.69,980119
2023-06-22,118.66,1332384
2023-06-23,116.9,1759062
2023-06-26,119.01,1548428
2023-06-27,120.87,2240313
2023-06-28,120.6,1354292
2023-06-29,121.5,1626888
2023-06-30,122.63,2441826
2023-07-03,123.85,689225
