date,close,volume
2021-07-06,360.19,26172696
2021-07-07,360.95,27348351
2021-07-08,358.77,37395261
2021-07-09,361.01,24708122
2021-07-12,362.42,18322618
2021-07-13,362.42,30461388
2021-07-14,363.07,26442080
2021-07-15,360.52,36799428
2021-07-16,357.6,31433545
2021-07-19,354.67,45723242
2021-07-20,358.79,27529907
2021-07-21,361.56,20863238
2021-07-22,363.95,20808686
2021-07-23,368.2,21474075
2021-07-26,368.49,21058423
2021-07-27,364.43,44667181
2021-07-28,365.83,32121766
2021-07-29,366.48,16521055
2021-07-30,364.57,24511566
2021-08-02,364.6,19665761
2021-08-03,366.81,27375012
2021-08-04,367.34,22398840
2021-08-05,369.67,16382340
2021-08-06,368.05,19808036
2021-08-09,368.73,15085335
2021-08-10,366.84,25942970
2021-08-11,366.21,23628062
2021-08-12,367.53,19430220
2021-08-13,368.82,14483406
2021-08-16,368.98,27607286
2021-08-17,365.73,33693234
2021-08-18,362.21,28377886
2021-08-19,363.96,34555599
2021-08-20,367.73,25281497
2021-08-23,373.23,23183088
2021-08-24,374.37,15386045
2021-08-25,374.8,15458972
2021-08-26,372.42,23200380
2021-08-27,376.04,20997446
2021-08-30,380.26,20464114
2021-08-31,379.95,21854595
2021-09-01,380.58,19935382
2021-09-02,380.4,19522065
2021-09-03,381.57,15955418
2021-09-07,382.11,16536366
2021-09-08,380.78,24967587
2021-09-09,379.47,21973687
2021-09-10,376.59,29201819
2021-09-13,376.33,34457907
2021-09-14,375.26,32446866
2021-09-15,378.05,25775888
2021-09-16,378.31,23420525
2021-09-17,373.83,37465799
2021-09-20,365.7,54602297
2021-09-21,366.15,31715707
2021-09-22,369.57,36028949
2021-09-23,372.98,31424465
2021-09-24,373.33,23776023
2021-09-27,370.35,29864119
2021-09-28,359.87,71624336
2021-09-29,359.28,45619660
2021-09-30,357.96,49066238
2021-10-01,360.18,41279024
2021-10-04,352.62,59120601
2021-10-05,357.38,36408141
2021-10-06,359.67,44050465
2021-10-07,362.97,30774238
2021-10-08,361.16,29897447
2021-10-11,358.39,27524531
2021-10-12,357.14,31338212
2021-10-13,360,29089744
2021-10-14,366.63,31660092
2021-10-15,368.94,21832416
2021-10-18,372.65,23227030
2021-10-19,375.47,20413146
2021-10-20,374.98,22108162
2021-10-21,377.27,17294496
2021-10-22,374.1,26488460
2021-10-25,377.93,23587984
2021-10-26,379.12,31199465
2021-10-27,380,30195414
2021-10-28,384.22,24203231
2021-10-29,386.11,26578752
2021-11-01,387.43,19433057
2021-11-02,389.05,17722859
2021-11-03,393.18,24806394
2021-11-04,398.22,28115871
2021-11-05,398.6,29825764
2021-11-08,398.06,19974432
2021-11-09,395.32,38550962
2021-11-10,389.51,41373738
2021-11-11,390.59,22147269
2021-11-12,394.7,23943193
2021-11-15,394.61,23975476
2021-11-16,397.42,19238830
2021-11-17,397.63,20536582
2021-11-18,401.75,29769568
2021-11-19,403.99,22665843
2021-11-22,399.3,43938062
2021-11-23,397.48,52851693
2021-11-24,398.76,34581192
2021-11-26,391.2,35234016
2021-11-29,399.69,36257592
2021-11-30,393.82,61600487
2021-12-01,387.12,58661792
2021-12-02,389.91,64041253
2021-12-03,383.13,80726515
2021-12-06,386.2,51228860
2021-12-07,397.83,39813825
2021-12-08,399.61,28482571
2021-12-09,393.73,37294653
2021-12-10,398.01,38707344
2021-12-13,392.26,31950853
2021-12-14,388.2,47091378
2021-12-15,397.05,51039181
2021-12-16,386.84,62879306
