date,close,volume
2021-07-06,61.37,17022904
2021-07-07,60.41,17194216
2021-07-08,60.14,15483106
2021-07-09,61.23,14053640
2021-07-12,61.17,12331042
2021-07-13,60.88,11882850
2021-07-14,59.53,17544380
2021-07-15,58.95,12593868
2021-07-16,57.32,21403359
2021-07-19,55.35,29195500
2021-07-20,55.96,22308688
2021-07-21,57.76,15806616
2021-07-22,57.11,10628426
2021-07-23,57.04,11043748
2021-07-26,58.48,13044515
2021-07-27,57.83,13414526
2021-07-28,58.22,13566808
2021-07-29,58.93,14644492
2021-07-30,57.57,20223995
2021-08-02,57.58,17482071
2021-08-03,58.2,13963391
2021-08-04,56.84,16561928
2021-08-05,57.2,11956004
2021-08-06,57.86,11497357
2021-08-09,57.2,12551296
2021-08-10,58.18,13478469
2021-08-11,58.35,13733681
2021-08-12,57.35,10316648
2021-08-13,56.77,16498461
2021-08-16,55.94,12420012
2021-08-17,55.56,12868760
2021-08-18,54.39,16045335
2021-08-19,52.73,25598720
2021-08-20,52.74,13691547
2021-08-23,54.91,17395001
2021-08-24,55.36,12052500
2021-08-25,55.46,9186689
2021-08-26,54.71,9160806
2021-08-27,55.77,12230490
2021-08-30,55.16,11500293
2021-08-31,54.52,18913229
2021-09-01,53.77,17349978
2021-09-02,55.08,19440256
2021-09-03,54.87,10787536
2021-09-07,54.55,10290213
2021-09-08,54.05,14493778
2021-09-09,54.09,14459346
2021-09-10,53.98,12166708
2021-09-13,55.37,16669599
2021-09-14,54.58,14094045
2021-09-15,56.42,18669438
2021-09-16,55.82,13059575
2021-09-17,55.16,18165082
2021-09-20,53.69,21684215
2021-09-21,53.64,15277668
2021-09-22,55.21,19813397
2021-09-23,57.08,17990419
2021-09-24,57.59,16904603
2021-09-27,59.3,25963818
2021-09-28,59.92,31211715
2021-09-29,59.88,18458969
2021-09-30,58.82,24060076
2021-10-01,60.93,19169094
2021-10-04,61.72,26251017
2021-10-05,61.62,24090311
2021-10-06,60.49,19976633
2021-10-07,60.66,14835682
2021-10-08,62.18,17604204
2021-10-11,61.56,18516959
2021-10-12,61.24,15476212
2021-10-13,61.07,11380410
2021-10-14,62,13324732
2021-10-15,62.59,12345506
2021-10-18,62.56,13427002
2021-10-19,63.5,13095964
2021-10-20,63.85,10755250
2021-10-21,62.69,12128970
2021-10-22,63.12,11070672
2021-10-25,64.35,14622166
2021-10-26,65.84,21349912
2021-10-27,64.13,16959014
2021-10-28,64.31,12993058
2021-10-29,64.47,16823051
2021-11-01,65.63,14484803
2021-11-02,64.82,11357829
2021-11-03,63.93,11924873
2021-11-04,64.41,12949682
2021-11-05,65.02,12402410
2021-11-08,65.72,10631605
2021-11-09,66.36,13833405
2021-11-10,64.19,14075787
2021-11-11,64.31,8606357
2021-11-12,63.82,10223331
2021-11-15,64.37,13871948
2021-11-16,65.02,12833806
2021-11-17,64.31,11839722
2021-11-18,63.61,12224704
2021-11-19,60.67,25724750
2021-11-22,61.51,16306612
2021-11-23,63.13,14016939
2021-11-24,63.48,10513924
2021-11-26,61.25,19617562
2021-11-29,61.59,13756979
2021-11-30,59.84,22956772
2021-12-01,59.79,24747993
2021-12-02,61.28,22069589
2021-12-03,60.89,17327408
2021-12-06,61.58,15108710
2021-12-07,62.27,14475642
2021-12-08,62.45,12575018
2021-12-09,62.61,11909820
2021-12-10,63.01,12874619
2021-12-13,61.63,12785479
2021-12-14,61.54,13406124
2021-12-15,61.27,14263875
2021-12-16,61.37,15153395
2021-12-17,60.03,27020603
2021-12-20,59.16,14795149
2021-12-21,60.5,14874478
2021-12-22,60.99,10678282
2021-12-23,61.02,9375711
2021-12-27,61.89,9255211
2021-12-28,61.69,9288393
2021-12-29,61.15,9776682
2021-12-30,60.79,9192427
2021-12-31,61.19,10070322
2022-01-03,63.54,18219576
2022-01-04,65.93,30237420
2022-01-05,66.75,26222321
2022-01-06,68.32,23234282
2022-01-07,68.88,18037600
2022-01-10,68.47,15598935
2022-01-11,71.35,25337542
2022-01-12,71.14,16650642
2022-01-13,70.63,15362167
2022-01-14,71.87,16595427
2022-01-18,73.08,25242495
2022-01-19,73.11,20965211
2022-01-20,73.27,21299529
2022-01-21,72.17,26449502
2022-01-24,72.79,32357539
2022-01-25,74.93,30724958
2022-01-26,74.17,27729657
2022-01-27,75.12,22523142
2022-01-28,75.28,22281163
2022-01-31,75.96,24536425
2022-02-01,80.83,50064268
2022-02-02,80.62,23247185
2022-02-03,79.68,21657729
2022-02-04,81.41,23727232
2022-02-07,82.39,23819194
2022-02-08,80.26,24518721
2022-02-09,79,27585136
2022-02-10,78.24,22964087
2022-02-11,80.21,29190157
2022-02-14,78.98,26955479
2022-02-15,77.99,18122450
2022-02-16,78.35,16471901
2022-02-17,78.23,15140265
2022-02-18,77.36,16490502
2022-02-22,76.46,25700399
2022-02-23,76.77,16429749
2022-02-24,75.8,32823485
2022-02-25,77.84,22314638
2022-02-28,78.42,22169941
2022-03-01,79.17,32074851
2022-03-02,80.53,35457839
2022-03-03,81.04,23463716
2022-03-04,84.09,35211343
2022-03-07,87.12,45188390
2022-03-08,87.78,58853943
2022-03-09,82.79,52938896
2022-03-10,85.36,32930444
2022-03-11,84.92,25954222
2022-03-14,81.88,28883921
2022-03-15,77.22,36613003
2022-03-16,76.93,29093708
2022-03-17,78.98,26340639
2022-03-18,78.67,21660362
2022-03-21,82.2,23664316
2022-03-22,81.84,17211546
2022-03-23,83.13,16592351
2022-03-24,83.38,13929547
2022-03-25,85.2,16323004
2022-03-28,82.81,15311682
2022-03-29,82.37,19698828
2022-03-30,83.78,16271813
2022-03-31,82.59,18421792
2022-04-01,83.12,13664094
2022-04-04,83.16,15657056
2022-04-05,82.73,16596091
2022-04-06,83.65,18901759
2022-04-07,85.05,20441618
2022-04-08,86.84,16939419
2022-04-11,83.85,15992145
2022-04-12,85.6,16370493
2022-04-13,86.81,14920799
2022-04-14,87.83,17523368
2022-04-18,88.55,15054140
2022-04-19,87.76,15473917
2022-04-20,87.96,15514168
2022-04-21,87.03,21532037
2022-04-22,85.13,17543340
2022-04-25,82.26,29156069
2022-04-26,82.29,21976683
2022-04-27,84.64,25117400
2022-04-28,87.2,23751511
2022-04-29,85.25,21186851
2022-05-02,86.41,26290903
2022-05-03,88.19,26916901
2022-05-04,91.7,36729531
2022-05-05,90.31,32551300
2022-05-06,91.69,23648975
2022-05-09,84.46,32606431
2022-05-10,85.02,26724238
2022-05-11,86.79,25257932
2022-05-12,86.3,20265490
2022-05-13,88.86,18411538
2022-05-16,90.95,21071943
2022-05-17,92.11,17664239
2022-05-18,90.65,19626053
2022-05-19,91.14,19754879
2022-05-20,91.86,22032321
2022-05-23,93.89,21466896
2022-05-24,94.4,19385065
2022-05-25,96.3,21812243
2022-05-26,96.64,16039093
2022-05-27,97.59,17997937
2022-05-31,96,26696179
2022-06-01,97.84,19938504
2022-06-02,97.67,14830993
2022-06-03,99.09,17141648
2022-06-06,98.84,12962358
2022-06-07,103.37,30162196
2022-06-08,104.59,25735831
2022-06-09,102.33,20462110
2022-06-10,100.46,23062098
2022-06-13,95.85,25730575
2022-06-14,96.1,23262502
2022-06-15,94.89,22874147
2022-06-16,91.39,26952663
2022-06-17,86.12,40084711
2022-06-21,91.48,26818765
2022-06-22,87.86,20841245
2022-06-23,85.21,28265440
2022-06-24,86.9,17813359
2022-06-27,89.03,18014201
2022-06-28,91.5,21700134
2022-06-29,88.12,18085409
2022-06-30,85.64,25735436
2022-07-01,87.55,19936942
2022-07-05,84.81,24581404
2022-07-06,83.28,24570284
2022-07-07,85.94,16961170
2022-07-08,86.08,12152837
2022-07-11,85.64,10859878
2022-07-12,84.5,14972981
2022-07-13,84.84,14256910
2022-07-14,83.14,19293973
2022-07-15,84.54,12066981
2022-07-18,86.1,13378949
2022-07-19,88.27,12778293
2022-07-20,89.24,11377911
2022-07-21,87.75,15479838
2022-07-22,87.08,10399094
2022-07-25,89.98,12134543
2022-07-26,89.63,10798901
2022-07-27,91.57,12615170
2022-07-28,92.64,14532825
2022-07-29,96.93,20065317
2022-08-01,94.48,15188746
2022-08-02,94.07,11897734
2022-08-03,91.02,17371875
2022-08-04,87.19,22100124
2022-08-05,88.45,12240538
2022-08-08,88.95,9069026
2022-08-09,90.59,10831209
2022-08-10,91.45,11758614
2022-08-11,93.19,13372821
2022-08-12,94,9194234
2022-08-15,92.32,12061860
2022-08-16,91.46,9973993
2022-08-17,92.2,9398700
2022-08-18,94.38,12358386
2022-08-19,94.08,11535939
2022-08-22,94.01,10481836
2022-08-23,98,18105248
2022-08-24,98.58,12747759
2022-08-25,99.09,11172495
2022-08-26,97.87,10450498
2022-08-29,100.12,17204241
2022-08-30,96.31,12087556
2022-08-31,95.59,10611347
2022-09-01,93.87,11002849
2022-09-02,95.59,12987679
2022-09-06,94.95,11035137
2022-09-07,94.14,10935586
2022-09-08,94.91,12402899
2022-09-09,96.5,11405280
2022-09-12,97.61,10617970
2022-09-13,95.33,12892942
2022-09-14,97.67,16401116
2022-09-15,94.83,14513969
2022-09-16,93.21,19175229
2022-09-19,93.2,10735062
2022-09-20,92.44,10244600
2022-09-21,90.95,11961215
2022-09-22,90.57,10688566
2022-09-23,85.75,19413063
2022-09-26,83.98,15366110
2022-09-27,85.74,11559564
2022-09-28,88.86,12856716
2022-09-29,88.68,12657579
2022-09-30,87.31,12036095
2022-10-03,91.92,14838653
2022-10-04,95.27,15258644
2022-10-05,99.12,26003748
2022-10-06,102.06,22743264
2022-10-07,101.03,18743829
2022-10-10,98.84,12508466
2022-10-11,98,12572068
2022-10-12,98.43,8483716
2022-10-13,101.87,16363587
2022-10-14,99.19,10378401
2022-10-17,100.62,9125178
2022-10-18,100.8,10234626
2022-10-19,103.79,15829547
2022-10-20,103.93,12509499
2022-10-21,105.86,16900213
2022-10-24,106.6,12477109
2022-10-25,105.88,10789483
2022-10-26,107.14,11638449
2022-10-27,107.55,12614000
2022-10-28,110.7,20880515
2022-10-31,110.81,16716190
2022-11-01,111.91,14892954
2022-11-02,109.61,14795822
2022-11-03,111.1,12755178
2022-11-04,112.31,12753147
2022-11-07,113.64,10577453
2022-11-08,114,9054687
2022-11-09,108.9,13137978
2022-11-10,110.5,11662503
2022-11-11,113.95,12606307
2022-11-14,113.37,11644065
2022-11-15,114.13,12438526
2022-11-16,112.91,8668474
2022-11-17,113.06,7445639
2022-11-18,112.08,9950631
2022-11-21,110.97,13529039
2022-11-22,114.18,11874007
2022-11-23,113.61,7412223
2022-11-25,113.21,4968188
2022-11-28,109.81,13552556
2022-11-29,110.54,9279321
2022-11-30,111.34,10608488
2022-12-01,110.8,8332144
2022-12-02,109.86,10541373
2022-12-05,106.85,13838731
2022-12-06,103.88,14381722
2022-12-07,103.65,13815868
2022-12-08,104.42,14765066
2022-12-09,103.54,13537519
2022-12-12,106.09,13130319
2022-12-13,107.25,14260589
2022-12-14,106.46,10340283
2022-12-15,105.44,8813430
2022-12-16,104.7,18155326
2022-12-19,105.17,8141764
2022-12-20,106.69,9407138
2022-12-21,108.06,8228399
2022-12-22,105.88,7810597
2022-12-23,108.68,7961720
2022-12-27,110.19,8287518
2022-12-28,108.38,7100786
2022-12-29,109.2,7551439
2022-12-30,110.3,7439553
2023-01-03,106.51,9973284
2023-01-04,106.82,12080807
2023-01-05,109.21,11363931
2023-01-06,110.53,11831331
2023-01-09,108.47,12003683
2023-01-10,110.09,10125038
2023-01-11,111.37,11415483
2023-01-12,113.22,11300926
2023-01-13,113.15,7312782
2023-01-17,112.93,10303365
2023-01-18,110.61,11194336
2023-01-19,111.32,8724514
2023-01-20,113.35,11056657
2023-01-23,112.76,11367776
2023-01-24,113.81,9589103
2023-01-25,113.21,7779439
2023-01-26,117.76,15280272
2023-01-27,115.61,10495535
2023-01-30,113.56,11080152
2023-01-31,116.01,17402016
2023-02-01,114.74,14126977
2023-02-02,111.15,16651155
2023-02-03,111.92,14739755
2023-02-06,111.73,9588387
2023-02-07,114.92,11317656
2023-02-08,113.92,9744897
2023-02-09,114.35,11955352
2023-02-10,119.17,18126933
2023-02-13,117.8,9543901
2023-02-14,116.42,8148824
2023-02-15,116.07,7769960
2023-02-16,115.73,7716705
2023-02-17,111.28,13636873
2023-02-21,111.17,9277485
2023-02-22,109.73,10023740
2023-02-23,110.74,7370679
2023-02-24,110.75,9237166
2023-02-27,110.55,7790983
2023-02-28,109.91,10267474
2023-03-01,110.89,7808852
2023-03-02,111.4,6268187
2023-03-03,112.81,8194368
2023-03-06,113.81,8390151
2023-03-07,111.61,7677731
2023-03-08,109.98,9130255
2023-03-09,109.13,8488427
2023-03-10,107.78,10258701
2023-03-13,106.54,14256948
2023-03-14,106.94,11423844
2023-03-15,101.62,16536252
2023-03-16,101.03,18332142
2023-03-17,99.84,16002968
2023-03-20,102.45,16398218
2023-03-21,107.04,16013595
2023-03-22,104.59,8976692
2023-03-23,103.41,8294361
2023-03-24,103.53,8173799
2023-03-27,105.8,8664320
2023-03-28,107.12,7311918
2023-03-29,108.96,8027051
2023-03-30,109.49,7942740
2023-03-31,109.66,8223112
2023-04-03,116.13,19262976
2023-04-04,115.02,10553049
2023-04-05,116.99,11194701
2023-04-06,115.05,10505442
2023-04-10,114.54,8956669
2023-04-11,115.35,7995354
2023-04-12,115.23,7326273
2023-04-13,115.77,7716185
2023-04-14,116.05,5929683
2023-04-17,114.7,8049110
2023-04-18,116.94,12557179
2023-04-19,116.57,6576138
2023-04-20,115.64,10710923
2023-04-21,116.01,9496771
2023-04-24,118.2,10675788
2023-04-25,116.52,8275322
2023-04-26,115.45,8808572
2023-04-27,116.83,10873887
2023-04-28,118.34,14604456
2023-05-01,114.67,11062477
2023-05-02,110.1,16161507
2023-05-03,107.93,10930506
2023-05-04,106.04,11702950
2023-05-05,108.68,9691933
2023-05-08,109.11,7013113
2023-05-09,109.14,7369504
2023-05-10,107.74,8432408
2023-05-11,105.79,11303937
2023-05-12,105.78,8342927
2023-05-15,105.07,8678666
2023-05-16,102.52,10061958
2023-05-17,104.82,8797563
2023-05-18,105.77,7009933
2023-05-19,106.26,7309874
2023-05-22,104.97,7922087
2023-05-23,106.4,9718469
2023-05-24,107.59,8890748
2023-05-25,105.66,7021886
2023-05-26,104.97,6657438
2023-05-30,104.04,7350271
2023-05-31,102.18,8090758
2023-06-01,103.36,8375090
2023-06-02,105.76,8480189
2023-06-05,105.29,7801101
2023-06-06,106.15,7095844
2023-06-07,108.53,9688859
2023-06-08,108.19,8383277
2023-06-09,107.39,7362596
2023-06-12,106.42,8462913
2023-06-13,106.44,7689296
2023-06-14,105.16,9574952
2023-06-15,105.89,9944906
2023-06-16,105.13,14728932
2023-06-20,102.72,10355539
2023-06-21,103.87,7343902
2023-06-22,103.3,7330201
2023-06-23,102.4,8291669
2023-06-26,104.29,7722088
2023-06-27,104.55,7371750
2023-06-28,105.4,8198465
2023-06-29,106.7,6978371
2023-06-30,107.25,7400337
2023-07-03,107.46,4512636
2023-07-05,106.91,7611511
2023-07-06,102.92,11915060
2023-07-07,103.16,14303035
2023-07-10,104.69,9567362
2023-07-11,105.97,8185938
