date,close,volume
2021-07-06,183.78699999999998,51854640
2021-07-07,184.829,44276040
2021-07-08,186.57049999999998,41006400
2021-07-09,185.967,30607680
2021-07-12,185.9275,17775260
2021-07-13,183.868,33009340
2021-07-14,184.084,25973760
2021-07-15,181.56,24361220
2021-07-16,178.6815,33410760
2021-07-19,177.4795,23701640
2021-07-20,178.6595,23051380
2021-07-21,179.26,14960160
2021-07-22,181.9015,19527960
2021-07-23,182.832,18858700
2021-07-26,184.991,21181560
2021-07-27,181.3195,35779060
2021-07-28,181.51600000000002,24063040
2021-07-29,179.996,28209540
2021-07-30,166.3795,83189680
2021-08-02,166.574,24786800
2021-08-03,168.31199999999998,31023260
2021-08-04,167.736,15521340
2021-08-05,168.7995,14509840
2021-08-06,167.247,20680460
2021-08-09,167.0935,15569380
2021-08-10,166.034,14853580
2021-08-11,164.6055,22600140
2021-08-12,165.175,16656520
2021-08-13,164.6985,16266940
2021-08-16,164.9495,29020680
2021-08-17,162.098,26878300
2021-08-18,160.06099999999998,19153120
2021-08-19,159.3875,27212960
2021-08-20,159.9975,26996440
2021-08-23,163.2935,25335600
2021-08-24,165.28900000000002,19173000
2021-08-25,164.959,11359220
2021-08-26,165.8,17033520
2021-08-27,167.4815,17434700
2021-08-30,171.07850000000002,25071440
2021-08-31,173.5395,26326140
2021-09-01,173.95,26939780
2021-09-02,173.156,24539780
2021-09-03,173.9025,20550460
2021-09-07,175.4645,22209540
2021-09-08,176.275,24573700
2021-09-09,174.208,20672760
2021-09-10,173.4575,16990540
2021-09-13,172.8585,15641260
2021-09-14,172.5,12521360
2021-09-15,173.7895,22035420
2021-09-16,174.41199999999998,18246880
2021-09-17,173.126,25982760
2021-09-20,167.7865,34496200
2021-09-21,167.1815,22123500
2021-09-22,169.0025,18656340
2021-09-23,170.8,18547340
2021-09-24,171.276,15837720
2021-09-27,170.29000000000002,30038980
2021-09-28,165.798,33818660
2021-09-29,165.05599999999998,18532880
2021-09-30,164.252,19467840
2021-10-01,164.163,20667980
2021-10-04,159.489,34458460
2021-10-05,161.05,23001920
2021-10-06,163.1005,17049160
2021-10-07,165.1215,15803280
2021-10-08,164.43099999999998,12249300
2021-10-11,162.315,14390100
2021-10-12,162.3665,13133700
2021-10-13,164.214,14257160
2021-10-14,164.993,12630940
2021-10-15,170.451,38190060
2021-10-18,172.337,23619440
2021-10-19,172.2075,17407680
2021-10-20,170.753,15342180
2021-10-21,171.75050000000002,12843340
2021-10-22,166.7775,23121580
2021-10-25,166.0185,16417460
2021-10-26,168.8035,19903500
2021-10-27,169.62449999999998,20781080
2021-10-28,172.32850000000002,37426660
2021-10-29,168.6215,51213820
2021-11-01,165.90550000000002,28354900
2021-11-02,165.6375,17986900
2021-11-03,169.2,25040940
2021-11-04,173.85,44924220
2021-11-05,175.9495,37184480
2021-11-08,174.449,21409100
2021-11-09,178.8115,29891060
2021-11-10,174.10250000000002,29196420
2021-11-11,173.625,16915200
2021-11-12,176.2575,16894200
2021-11-15,177.284,18828860
2021-11-16,177.035,14108300
2021-11-17,177.45,19189400
2021-11-18,184.803,47222440
2021-11-19,183.82850000000002,38901820
2021-11-22,178.6285,38692200
2021-11-23,179.002,28375420
2021-11-24,179.0205,17130600
2021-11-26,175.228,22261200
2021-11-29,178.07850000000002,24849620
2021-11-30,175.3535,27883780
2021-12-01,172.18599999999998,30448940
2021-12-02,171.868,24484640
2021-12-03,169.4895,27727940
2021-12-06,171.36849999999998,25511900
2021-12-07,176.1645,24234880
2021-12-08,176.158,14606020
2021-12-09,174.171,12288860
2021-12-10,172.212,20828900
2021-12-13,169.5675,15753940
2021-12-14,169.0915,16979780
2021-12-15,173.315,28289340
2021-12-16,168.871,20124580
2021-12-17,170.01749999999998,26438820
2021-12-20,167.079,17112100
2021-12-21,170.417,17520740
2021-12-22,171.03699999999998,18473860
2021-12-23,171.0685,11626020
2021-12-27,169.6695,19631940
2021-12-28,170.661,17274860
2021-12-29,169.201,10745560
2021-12-30,168.6445,12882220
2021-12-31,166.717,15632900
2022-01-03,170.4045,22527140
2022-01-04,167.522,24197660
2022-01-05,164.357,20571840
2022-01-06,163.254,15574580
2022-01-07,162.554,15599240
2022-01-10,161.486,33070840
2022-01-11,165.362,23734660
2022-01-12,165.207,14557400
2022-01-13,161.214,17444900
2022-01-14,162.138,13630980
2022-01-18,158.9175,21615580
2022-01-19,156.299,17596060
2022-01-20,151.6675,25295280
2022-01-21,142.643,65237820
2022-01-24,144.544,59541560
2022-01-25,139.986,33348360
2022-01-26,138.8725,35478520
2022-01-27,139.6375,28555380
2022-01-28,143.978,25560700
2022-01-31,149.5735,25290840
2022-02-01,151.1935,18035700
2022-02-02,150.6125,30843420
2022-02-03,138.8455,69126820
2022-02-04,157.6395,101750360
2022-02-07,157.9355,43733080
2022-02-08,161.4135,28984840
2022-02-09,161.1895,22933320
2022-02-10,159.0035,21716640
2022-02-11,153.2935,27752600
2022-02-14,155.167,31693600
2022-02-15,156.5105,18173260
2022-02-16,158.1005,19888900
2022-02-17,154.6525,21595640
2022-02-18,152.60150000000002,21141980
2022-02-22,150.1975,23229760
2022-02-23,144.827,22918280
2022-02-24,151.358,38694480
2022-02-25,153.7885,22166500
2022-02-28,153.56300000000002,17890520
2022-03-01,151.142,14844280
2022-03-02,152.0525,16645640
2022-03-03,147.89849999999998,25037060
2022-03-04,145.64100000000002,21016780
2022-03-07,137.453,32129440
2022-03-08,136.0145,36911000
2022-03-09,139.279,24508860
2022-03-10,146.8175,47249700
2022-03-11,145.5245,21422820
2022-03-14,141.853,26289260
2022-03-15,147.3665,24778240
2022-03-16,153.10399999999998,25925160
2022-03-17,157.239,23352520
2022-03-18,161.25050000000002,34940800
2022-03-21,161.4915,21318920
2022-03-22,164.889,22129700
2022-03-23,163.408,18469160
2022-03-24,163.6495,15725200
2022-03-25,164.77349999999998,17832280
2022-03-28,168.9905,19326260
2022-03-29,169.315,20655720
2022-03-30,166.301,17313460
2022-03-31,162.9975,17621440
2022-04-01,163.56,20287180
2022-04-04,168.3465,17416800
2022-04-05,164.055,17796820
2022-04-06,158.756,27786280
2022-04-07,157.7845,25669900
2022-04-08,154.4605,14627420
2022-04-11,151.122,18941600
2022-04-12,150.7875,18808440
2022-04-13,155.541,20088920
2022-04-14,151.7065,16754900
2022-04-18,152.785,18264580
2022-04-19,158.1155,19810680
2022-04-20,153.998,22395300
2022-04-21,148.296,22081320
2022-04-22,144.35,24799700
2022-04-25,146.074,22576560
2022-04-26,139.39100000000002,25500580
2022-04-27,138.167,23721980
2022-04-28,144.5965,27564420
2022-04-29,124.28150000000001,100669380
2022-05-02,124.5,58403260
2022-05-03,124.2535,29567860
2022-05-04,125.92850000000001,42118560
2022-05-05,116.407,55322580
2022-05-06,114.7725,47409840
2022-05-09,108.78900000000002,48280740
2022-05-10,108.859,40099380
2022-05-11,105.372,38795280
2022-05-12,106.93050000000001,50858120
2022-05-13,113.05499999999999,35128840
2022-05-16,110.8105,30204400
2022-05-17,115.3685,29328440
2022-05-18,107.1125,38496560
2022-05-19,107.319,33243760
2022-05-20,107.59100000000001,35746880
2022-05-23,107.55699999999999,43734580
2022-05-24,104.1,41376440
2022-05-25,106.775,31278920
2022-05-26,111.07750000000001,32274280
2022-05-27,115.14649999999999,31550300
2022-05-31,120.2095,50229920
2022-06-01,121.684,51152360
2022-06-02,125.511,34632040
2022-06-03,122.35,37951720
2022-06-06,124.79,103138641
2022-06-07,123,61425323
2022-06-08,121.18,43632160
2022-06-09,116.15,48795301
2022-06-10,109.65,61390175
2022-06-13,103.67,71980879
2022-06-14,102.31,50602444
2022-06-15,107.67,63256015
2022-06-16,103.66,53859202
2022-06-17,106.22,59060888
2022-06-21,108.68,49267639
2022-06-22,108.95,42563811
2022-06-23,112.44,46266499
2022-06-24,116.46,44622088
2022-06-27,113.22,42410596
2022-06-28,107.4,52262478
2022-06-29,108.92,47216097
2022-06-30,106.21,68765166
2022-07-01,109.56,52771476
2022-07-05,113.5,55370258
2022-07-06,114.33,48732347
2022-07-07,116.33,44068200
2022-07-08,115.54,35112717
2022-07-11,111.75,37691783
2022-07-12,109.22,38989846
2022-07-13,110.4,45132415
2022-07-14,110.63,37216806
2022-07-15,113.55,59374148
2022-07-18,113.76,42726979
2022-07-19,118.21,43333623
2022-07-20,122.77,55083710
2022-07-21,124.63,44529466
2022-07-22,122.42,37529510
2022-07-25,121.14,34658947
2022-07-26,114.81,46299170
2022-07-27,120.97,43820255
2022-07-28,122.28,44483296
2022-07-29,134.95,106139663
2022-08-01,135.39,58846435
2022-08-02,134.16,47674805
2022-08-03,139.52,52473442
2022-08-04,142.57,54062438
2022-08-05,140.8,37235128
2022-08-08,139.41,38424360
2022-08-09,137.83,27981207
2022-08-10,142.69,36693609
2022-08-11,140.64,32364307
2022-08-12,143.55,33143829
2022-08-15,143.18,27890528
2022-08-16,144.78,42705872
2022-08-17,142.1,34922339
2022-08-18,142.3,26574953
2022-08-19,138.23,31944126
2022-08-22,133.22,33869329
2022-08-23,133.62,25284051
2022-08-24,133.8,26008322
2022-08-25,137.28,25998044
2022-08-26,130.75,35439021
2022-08-29,129.79,33300676
2022-08-30,128.73,34548368
2022-08-31,126.77,32911323
2022-09-01,127.82,40468797
2022-09-02,127.51,41639011
2022-09-06,126.11,30462207
2022-09-07,129.48,30122627
2022-09-08,129.82,30695395
2022-09-09,133.27,35829232
2022-09-12,136.45,36242127
2022-09-13,126.82,49302359
2022-09-14,128.55,31955903
2022-09-15,126.28,35060340
2022-09-16,123.53,63518325
2022-09-19,124.66,33938810
2022-09-20,122.19,34710336
2022-09-21,118.54,42250521
2022-09-22,117.31,39612040
2022-09-23,113.78,44652021
2022-09-26,115.15,44781854
2022-09-27,114.41,43525933
2022-09-28,118.01,38912116
2022-09-29,114.8,39595787
2022-09-30,113,39354351
2022-10-03,115.88,33667905
2022-10-04,121.09,45023507
2022-10-05,120.95,35670896
2022-10-06,120.3,31246718
2022-10-07,114.56,36690609
2022-10-10,113.67,31574423
2022-10-11,112.21,41814485
2022-10-12,112.9,33953692
2022-10-13,112.53,65551388
2022-10-14,106.9,47911460
2022-10-17,113.79,45199515
2022-10-18,116.36,47944246
2022-10-19,115.07,34596813
2022-10-20,115.25,36185386
2022-10-21,119.32,41406594
2022-10-24,119.82,34806346
2022-10-25,120.6,34316443
2022-10-26,115.66,51568683
2022-10-27,110.96,63622074
2022-10-28,103.41,173882060
2022-10-31,102.44,71655739
2022-11-01,96.79,120831029
2022-11-02,92.12,100695290
2022-11-03,89.3,107885335
2022-11-04,90.98,92893079
2022-11-07,90.53,60280443
2022-11-08,89.98,63912285
2022-11-09,86.14,68941489
2022-11-10,96.63,128970647
2022-11-11,100.79,89324291
2022-11-14,98.49,70185333
2022-11-15,98.94,86953950
2022-11-16,97.12,69157436
2022-11-17,94.85,62624749
2022-11-18,94.14,54949055
2022-11-21,92.46,66201576
2022-11-22,93.2,47119926
2022-11-23,94.13,45636934
2022-11-25,93.41,27635589
2022-11-28,93.95,60642934
2022-11-29,92.42,51941284
2022-11-30,96.54,71829519
