date,close,volume
2021-07-06,213.52,2716923
2021-07-07,214.69,1640922
2021-07-08,212.11,1851890
2021-07-09,217.42,1871200
2021-07-12,218.58,1475824
2021-07-13,215.19,1346189
2021-07-14,211.64,1839716
2021-07-15,211.41,1555799
2021-07-16,207.95,2734204
2021-07-19,203.08,3168809
2021-07-20,207.96,2094137
2021-07-21,210.73,1974614
2021-07-22,209.16,1038766
2021-07-23,209.53,1248618
2021-07-26,211.03,1063841
2021-07-27,209.9,1427711
2021-07-28,211.44,2052947
2021-07-29,212.56,2106248
2021-07-30,206.75,3548304
2021-08-02,205.16,2585026
2021-08-03,208.5,2202774
2021-08-04,204.52,1773472
2021-08-05,207.19,1502748
2021-08-06,208.35,1638184
2021-08-09,208.89,1433623
2021-08-10,214.07,2661537
2021-08-11,221.66,5119575
2021-08-12,220.24,2569895
2021-08-13,218.57,1243057
2021-08-16,217.71,1510336
2021-08-17,213.44,2083427
2021-08-18,209.81,1562079
2021-08-19,204.45,2976961
2021-08-20,204.94,1704882
2021-08-23,209.14,1602032
2021-08-24,212.59,1556917
2021-08-25,214.76,1242331
2021-08-26,211.24,1591966
2021-08-27,212.83,1571482
2021-08-30,211.45,1179650
2021-08-31,210.87,1524736
2021-09-01,207.96,2625790
2021-09-02,211.78,1821549
2021-09-03,210.37,1501977
2021-09-07,208.23,1512429
2021-09-08,206.77,1597743
2021-09-09,205.42,1778881
2021-09-10,205.01,1445091
2021-09-13,206.2,1249526
2021-09-14,202.33,2138761
2021-09-15,205.73,1573696
2021-09-16,203.6,1513298
2021-09-17,199.75,3651950
2021-09-20,190.82,5687731
2021-09-21,189.84,3763648
2021-09-22,191.35,2284811
2021-09-23,196.62,2018255
2021-09-24,196.82,1232598
2021-09-27,200,1662964
2021-09-28,200.55,1894467
2021-09-29,197.87,1848864
2021-09-30,191.97,3115050
2021-10-01,194.33,2107406
2021-10-04,193.13,1754414
2021-10-05,192.5,1775472
2021-10-06,191.86,2407031
2021-10-07,195.75,1987575
2021-10-08,195.16,1399176
2021-10-11,192.89,1103979
2021-10-12,189.92,3288859
2021-10-13,188.94,2029107
2021-10-14,194.33,3434305
2021-10-15,199.02,3374621
2021-10-18,198.18,1394240
2021-10-19,201.14,1653853
2021-10-20,204.19,1582090
2021-10-21,202.14,1810713
2021-10-22,200.65,1197419
2021-10-25,202.21,2027212
2021-10-26,199.64,1467079
2021-10-27,196.13,1888567
2021-10-28,204.09,2696906
2021-10-29,204.01,1976894
2021-11-01,205.38,1258080
2021-11-02,207.12,1982403
2021-11-03,203.55,1651726
2021-11-04,203.59,1190439
2021-11-05,205.88,1469846
2021-11-08,214.25,3448826
2021-11-09,209.81,1883503
2021-11-10,206.67,1504516
2021-11-11,208.53,1868533
2021-11-12,209.27,1129241
2021-11-15,207.71,1222995
2021-11-16,205.43,1219968
2021-11-17,202.98,1599403
2021-11-18,201.42,1311682
2021-11-19,200.44,1719811
2021-11-22,202.38,1297525
2021-11-23,205.33,1909931
2021-11-24,207.07,2119072
2021-11-26,198.73,2209357
2021-11-29,195.92,2585700
2021-11-30,193.35,2425092
2021-12-01,191.47,1988068
2021-12-02,196.79,1777831
2021-12-03,197.8,1636246
2021-12-06,201.28,1501655
2021-12-07,204.49,1529203
2021-12-08,204.19,1179826
2021-12-09,204.13,840439
2021-12-10,203.46,971080
2021-12-13,201.25,908575
2021-12-14,201.64,1229336
2021-12-15,202.55,1107934
2021-12-16,206.17,1413099
2021-12-17,201.37,2059107
2021-12-20,195.46,1887670
2021-12-21,198.31,1179678
2021-12-22,202.15,1790158
