date,close,volume
2021-07-06,73.61,1409234
2021-07-07,74.14,1132868
2021-07-08,72.66,1796794
2021-07-09,73.51,1223905
2021-07-12,74.7,2450601
2021-07-13,74.57,1693672
2021-07-14,73.77,1734557
2021-07-15,73.3,3177376
2021-07-16,72.66,1211440
2021-07-19,71.37,2173072
2021-07-20,71.67,1907021
2021-07-21,72.91,2846154
2021-07-22,73.15,2438738
2021-07-23,73.46,2244428
2021-07-26,72.67,2116790
2021-07-27,70.47,4806918
2021-07-28,69.73,2903137
2021-07-29,69.08,2007528
2021-07-30,68.61,2678610
2021-08-02,70.31,3045461
2021-08-03,69.33,1823954
2021-08-04,69.09,1706566
2021-08-05,67.23,4893414
2021-08-06,66.8,4019923
2021-08-09,66.19,1276773
2021-08-10,64.99,2168187
2021-08-11,64.45,2219540
2021-08-12,63.11,2690544
2021-08-13,63.07,3428627
2021-08-16,64.06,2113117
2021-08-17,65.41,2296819
2021-08-18,63.82,2047581
2021-08-19,63.91,1317916
2021-08-20,64.31,1851418
2021-08-23,64.53,1251938
2021-08-24,64.58,1337798
2021-08-25,63.56,1932894
2021-08-26,63.58,1520853
2021-08-27,63.98,1100480
2021-08-30,63.23,1983574
2021-08-31,62.98,2316775
2021-09-01,62.71,1458075
2021-09-02,64.61,1435664
2021-09-03,64.37,1257641
2021-09-07,63.79,1278085
2021-09-08,62.85,1068580
2021-09-09,61.96,1400703
2021-09-10,59.73,2822956
2021-09-13,62.9,4626672
2021-09-14,60.8,2368373
2021-09-15,61.63,2665947
2021-09-16,61.59,1155045
2021-09-17,64.64,8969871
2021-09-20,64.35,2938670
2021-09-21,63.09,3456471
2021-09-22,62.94,1510571
2021-09-23,62.6,1488733
2021-09-24,62.82,897679
2021-09-27,63.83,2895298
2021-09-28,63.5,2090409
2021-09-29,63.26,991218
2021-09-30,62.31,2867222
2021-10-01,63.05,1611745
2021-10-04,62.53,1091058
2021-10-05,62.71,2939047
2021-10-06,63.04,2136637
2021-10-07,63.97,1550333
2021-10-08,64.33,1238433
2021-10-11,63.1,1370760
2021-10-12,63.04,2057481
2021-10-13,61.94,2036343
2021-10-14,63.23,2402735
2021-10-15,65.32,3202599
2021-10-18,64.01,1787125
2021-10-19,64.71,1593103
2021-10-20,68.09,4257176
2021-10-21,68.99,3339141
2021-10-22,69.24,2145200
2021-10-25,67.97,3187067
2021-10-26,70.97,8134394
2021-10-27,70.55,5473560
2021-10-28,71.61,2599867
2021-10-29,71.24,1349036
2021-11-01,71.74,3087743
2021-11-02,69.34,2945259
2021-11-03,73.9,5241325
2021-11-04,73.77,3259189
2021-11-05,74.17,1966123
2021-11-08,74.08,787124
2021-11-09,74.77,1687376
2021-11-10,75.06,2731704
2021-11-11,75.29,1309083
2021-11-12,75.86,1564529
2021-11-15,75.1,1364506
2021-11-16,74.98,1271660
2021-11-17,76.18,2680685
2021-11-18,75.37,5201621
2021-11-19,73.01,2154664
2021-11-22,74.08,1348630
2021-11-23,76.03,1550971
2021-11-24,75.61,1044497
2021-11-26,73.9,929700
2021-11-29,73.77,1455503
2021-11-30,71.41,1691992
2021-12-01,70.18,2095144
2021-12-02,71.42,1758455
2021-12-03,71.05,1708984
2021-12-06,71.77,3830592
2021-12-07,73.4,2837013
2021-12-08,73.88,3635270
2021-12-09,74.87,2456353
2021-12-10,78.45,4663796
2021-12-13,78.15,2906150
2021-12-14,81.85,8222889
2021-12-15,83.33,4269799
2021-12-16,83,3608395
2021-12-17,83.02,3681383
2021-12-20,82.42,2034164
2021-12-21,82.99,1980730
2021-12-22,84.37,1478869
2021-12-23,84.72,1478057
2021-12-27,84.37,1143124
2021-12-28,84.45,1045477
2021-12-29,84.22,911432
2021-12-30,83.99,1343981
2021-12-31,82.4,1882676
2022-01-03,82.65,1636977
2022-01-04,81.08,1474918
2022-01-05,79.79,1939078
2022-01-06,76.34,4530823
2022-01-07,76.34,2945138
2022-01-10,77.84,3320901
2022-01-11,80.02,2568846
2022-01-12,80.32,1838504
2022-01-13,79.88,1897848
2022-01-14,80.55,2287562
2022-01-18,78.69,1821244
2022-01-19,77.61,2069934
2022-01-20,78.95,2524023
2022-01-21,77.14,2235782
2022-01-24,77.53,2045552
2022-01-25,76.37,1715384
2022-01-26,75.34,1857362
2022-01-27,76.27,3979936
2022-01-28,77.27,1278733
2022-01-31,77.76,1378453
2022-02-01,76.95,1706632
2022-02-02,78.82,1381466
2022-02-03,81.53,3895525
2022-02-04,80.57,2429202
2022-02-07,80.79,1486199
2022-02-08,85.67,3390258
2022-02-09,85.95,1539204
2022-02-10,84.15,1025723
2022-02-11,83.32,865953
2022-02-14,82.01,953881
2022-02-15,84.08,1321314
2022-02-16,84.22,758888
2022-02-17,82.81,839474
2022-02-18,82.06,1018421
2022-02-22,81.33,981106
2022-02-23,81.35,1068622
2022-02-24,80.84,1387916
2022-02-25,83.52,1169115
2022-02-28,82.62,1178364
2022-03-01,83.15,1143975
2022-03-02,84.68,1130934
2022-03-03,84.78,991811
2022-03-04,86.05,1507420
2022-03-07,83.49,2235949
2022-03-08,81.57,1404223
2022-03-09,82.85,1872481
2022-03-10,84.44,1315521
2022-03-11,83.41,1449549
2022-03-14,84.33,2067594
2022-03-15,85.61,1279071
2022-03-16,86.87,1857476
2022-03-17,87.98,1560074
2022-03-18,87.74,2189293
2022-03-21,86.75,1633792
2022-03-22,87.57,2022649
2022-03-23,82.46,4102387
2022-03-24,84.71,1755927
2022-03-25,85.59,1099227
2022-03-28,85.24,1757090
2022-03-29,84.93,1735990
2022-03-30,86.36,1678701
2022-03-31,84.19,1651398
2022-04-01,85.51,1298137
2022-04-04,84.18,1317699
2022-04-05,84.83,1407329
2022-04-06,87.12,1461432
2022-04-07,88.56,2438028
2022-04-08,88.48,1539343
2022-04-11,86.9,802244
2022-04-12,85.81,1075739
2022-04-13,86.21,1707789
2022-04-14,86.54,818520
2022-04-18,84.88,1274733
2022-04-19,85.99,1067410
2022-04-20,89.01,1250009
2022-04-21,87.84,1442570
2022-04-22,84.41,1059846
2022-04-25,84.86,1658765
2022-04-26,81.88,2583462
2022-04-27,80.72,2471134
2022-04-28,81.59,2523931
2022-04-29,80.55,2141148
2022-05-02,79.06,2138550
2022-05-03,80.34,1760846
2022-05-04,82.91,1268364
2022-05-05,84.82,3317551
2022-05-06,84.03,1437579
2022-05-09,79.19,2124212
2022-05-10,79.96,1304974
2022-05-11,80.65,2465754
2022-05-12,81.23,1733439
2022-05-13,82.32,1336202
2022-05-16,84.72,1585822
2022-05-17,84.1,1307883
2022-05-18,81.77,1023661
2022-05-19,82.64,1172684
2022-05-20,84.96,1501709
2022-05-23,86.04,1569634
2022-05-24,87.21,1462937
2022-05-25,85.31,1662114
2022-05-26,81.89,3337426
2022-05-27,84.41,2838106
2022-05-31,81.44,1869993
2022-06-01,81.21,1258831
2022-06-02,82.56,1267949
2022-06-03,81.97,942101
2022-06-06,83.24,771344
2022-06-07,83.35,695376
2022-06-08,82.6,540724
2022-06-09,80.02,1151813
2022-06-10,79.51,1335133
2022-06-13,75.7,1685093
2022-06-14,76.23,1236810
2022-06-15,77.46,1542125
2022-06-16,76.64,2119565
2022-06-17,76.32,3046640
2022-06-21,80.86,3092066
2022-06-22,81.87,1613033
2022-06-23,83.64,1463234
2022-06-24,82.95,1655973
2022-06-27,84.57,1379816
2022-06-28,84.33,1663150
2022-06-29,84.94,1457985
2022-06-30,84.61,1404124
2022-07-01,86.21,1252129
2022-07-05,84.75,1818883
2022-07-06,86.01,1471629
2022-07-07,85.26,1065516
2022-07-08,88.01,2906372
2022-07-11,87.22,1284342
2022-07-12,86.91,1480148
2022-07-13,85.19,1459336
2022-07-14,85.76,1591525
