date,close,volume
2021-07-06,398.86,730825
2021-07-07,404.68,1060920
2021-07-08,407.15,1118830
2021-07-09,412.37,1218334
2021-07-12,407.88,1329431
2021-07-13,407.06,714016
2021-07-14,409.95,585351
2021-07-15,411.82,630892
2021-07-16,410.37,598995
2021-07-19,414.15,998819
2021-07-20,416.24,806967
2021-07-21,415.01,581549
2021-07-22,417.54,531302
2021-07-23,423.43,550462
2021-07-26,423.23,501077
2021-07-27,424.34,680133
2021-07-28,422.22,613248
2021-07-29,425.28,571527
2021-07-30,429.72,1181492
2021-08-02,428.92,627612
2021-08-03,435.07,711924
2021-08-04,435.04,561009
2021-08-05,443.19,839162
2021-08-06,439.63,805073
2021-08-09,440.47,657312
2021-08-10,443.03,706412
2021-08-11,444.3,1179758
2021-08-12,445.36,591233
2021-08-13,447.82,640000
2021-08-16,452.86,771854
2021-08-17,452.34,1004893
2021-08-18,446.21,950882
2021-08-19,454.26,1021566
2021-08-20,458.99,917992
2021-08-23,454.93,892022
2021-08-24,451.79,762658
2021-08-25,451.23,749402
2021-08-26,449.31,754923
2021-08-27,450.34,577703
2021-08-30,455.93,562452
2021-08-31,455.49,635777
2021-09-01,456.52,595679
2021-09-02,460.97,669675
2021-09-03,462.55,564272
2021-09-07,459.6,655624
2021-09-08,465.7,623349
2021-09-09,465.94,663727
2021-09-10,465.16,602560
2021-09-13,459.66,716771
2021-09-14,458.41,626299
2021-09-15,460.73,766979
2021-09-16,463.31,643312
2021-09-17,459.51,1266975
2021-09-20,451.14,1109081
2021-09-21,452.11,712002
2021-09-22,452.33,585628
2021-09-23,452.78,874756
2021-09-24,467.75,1977302
2021-09-27,460.56,1285188
2021-09-28,447.35,1158090
2021-09-29,451.79,915294
2021-09-30,449.35,764834
2021-10-01,448.33,855196
2021-10-04,440.14,957036
2021-10-05,446.24,739945
2021-10-06,449.34,518285
2021-10-07,452.87,964896
2021-10-08,451.85,558638
2021-10-11,449.7,382724
2021-10-12,446.87,607313
2021-10-13,445.3,786626
2021-10-14,450.66,635728
2021-10-15,452.39,589997
2021-10-18,461.95,796620
2021-10-19,467.08,648695
2021-10-20,469.77,699152
2021-10-21,477.23,635389
2021-10-22,481.99,708983
2021-10-25,490.1,850782
2021-10-26,485.53,1165707
2021-10-27,489.11,768882
2021-10-28,490.53,589954
2021-10-29,491.54,879332
2021-11-01,491.87,693476
2021-11-02,496.99,801321
2021-11-03,502.33,773810
2021-11-04,515.62,1225844
2021-11-05,513.12,951145
2021-11-08,503.81,1225341
2021-11-09,508.71,746447
2021-11-10,505.51,484581
2021-11-11,512.18,563812
2021-11-12,517.17,645470
2021-11-15,519.89,590778
2021-11-16,526.72,689520
2021-11-17,526.29,653991
2021-11-18,529.37,717473
2021-11-19,533.79,789666
2021-11-22,539.65,843633
2021-11-23,545.26,929005
2021-11-24,549.73,715103
2021-11-26,546.13,728631
2021-11-29,554.88,1090271
2021-11-30,539.38,1275321
2021-12-01,529.84,1219499
2021-12-02,525.51,1241956
2021-12-03,528.93,1041227
2021-12-06,533.2,870822
2021-12-07,542.02,820023
2021-12-08,530.11,1473095
2021-12-09,524.33,1177058
2021-12-10,558.82,3162909
2021-12-13,557.22,1518544
2021-12-14,545.34,1468705
2021-12-15,565.48,1248587
2021-12-16,552.63,1097686
2021-12-17,547.61,1517751
2021-12-20,548.56,732193
2021-12-21,545.43,1006073
2021-12-22,549.67,534566
2021-12-23,550.37,568921
