date,close,volume
2021-07-06,108.68,1288597
2021-07-07,107.31,867449
2021-07-08,107.1,953797
2021-07-09,108.12,750767
2021-07-12,107.76,705269
2021-07-13,106.59,623466
2021-07-14,104.67,768276
2021-07-15,103.48,780906
2021-07-16,104.64,543101
2021-07-19,104.83,1079659
2021-07-20,107.52,653495
2021-07-21,108.39,674319
2021-07-22,110.2,1221994
2021-07-23,111.23,1892508
2021-07-26,109.79,910663
2021-07-27,109.62,929799
2021-07-28,111.45,921200
2021-07-29,111.23,448851
2021-07-30,110.7,1220373
2021-08-02,111.63,1245419
2021-08-03,114.68,1647196
2021-08-04,114.93,1732274
2021-08-05,132.47,8540581
2021-08-06,131.92,2763110
2021-08-09,130,3452662
2021-08-10,125.3,3008077
2021-08-11,128.21,2488405
2021-08-12,130.28,3245286
2021-08-13,135.49,3919018
2021-08-16,133.52,1784579
2021-08-17,133,1065690
2021-08-18,132.68,1199957
2021-08-19,132.42,2251336
2021-08-20,131.15,1919122
2021-08-23,132.5,1757483
2021-08-24,135.48,1715588
2021-08-25,135.63,1490790
2021-08-26,131.3,2886224
2021-08-27,134.84,1305660
2021-08-30,136.63,962831
2021-08-31,137.8,1065045
2021-09-01,135.77,1745098
2021-09-02,137.09,1303130
2021-09-03,138.06,1316629
2021-09-07,137.36,1674757
2021-09-08,139.57,3384561
2021-09-09,140.9,2564637
2021-09-10,137.15,1643573
2021-09-13,135.23,1902704
2021-09-14,138.12,1722635
2021-09-15,139.11,1014971
2021-09-16,144.14,1709560
2021-09-17,143.13,1502269
2021-09-20,142.25,1631878
2021-09-21,145.38,2234411
2021-09-22,148.69,1915783
2021-09-23,147.5,1580619
2021-09-24,147.32,1202262
2021-09-27,142,1675276
2021-09-28,137.4,2143808
2021-09-29,138.14,1222805
2021-09-30,141.35,1383126
2021-10-01,144.69,1685907
2021-10-04,137.1,1795607
2021-10-05,141.89,964184
2021-10-06,143.31,1375061
2021-10-07,142.1,1140736
2021-10-08,140.32,839945
2021-10-11,141.96,823263
2021-10-12,145.59,1197639
2021-10-13,155.89,3916836
2021-10-14,153.36,2501492
2021-10-15,154.48,1359674
2021-10-18,157.42,1055109
2021-10-19,157.94,2627891
2021-10-20,158.85,1648277
2021-10-21,160.92,777557
2021-10-22,162.39,990376
2021-10-25,161.58,1337229
2021-10-26,163.87,1176747
2021-10-27,157.09,2306977
2021-10-28,161,1087645
2021-10-29,167.05,1849837
2021-11-01,165.2,1419186
2021-11-02,164.88,935410
2021-11-03,162.79,1251106
2021-11-04,166.95,1723069
2021-11-05,185.51,6420115
2021-11-08,191.35,2926500
2021-11-09,196.56,2561939
2021-11-10,188.8,2494497
2021-11-11,190.34,1574163
2021-11-12,193.03,741737
2021-11-15,191,1247539
2021-11-16,193.26,1730150
2021-11-17,190.26,1740013
2021-11-18,190.6,1409684
2021-11-19,192.6,1491072
2021-11-22,180.75,2774468
2021-11-23,179.42,4170090
2021-11-24,180.34,1683537
2021-11-26,181.25,1041344
2021-11-29,182.99,2795958
2021-11-30,178.29,2021799
2021-12-01,164.53,4281771
2021-12-02,169.44,2965108
2021-12-03,164.22,3533777
2021-12-06,161.41,2860923
2021-12-07,177.01,2778691
2021-12-08,183.16,1728395
2021-12-09,175.41,1904500
2021-12-10,174.56,1702111
2021-12-13,172.03,2161971
2021-12-14,160.78,4462818
2021-12-15,171.02,2206308
2021-12-16,164.05,1843070
2021-12-17,170.16,2772753
2021-12-20,164.38,2163335
2021-12-21,177.49,1994500
2021-12-22,179.68,1492722
2021-12-23,180.36,1244731
2021-12-27,183.47,1861744
2021-12-28,177.42,989686
2021-12-29,179.71,577549
2021-12-30,178.93,862617
2021-12-31,178.11,666847
2022-01-03,163.83,2707451
2022-01-04,157.76,4420940
2022-01-05,145.52,4931266
2022-01-06,143.89,3448997
2022-01-07,143.79,1668021
2022-01-10,146.33,3375306
2022-01-11,148.6,1710579
2022-01-12,146.33,1283224
2022-01-13,135.13,2739189
2022-01-14,138.28,2799050
2022-01-18,131.87,2176359
2022-01-19,130.91,2295000
2022-01-20,130.01,1781854
2022-01-21,125.55,2610666
2022-01-24,136.07,4958949
2022-01-25,125.14,2789955
2022-01-26,128.04,5031765
2022-01-27,128.15,1999572
2022-01-28,136.96,3254130
2022-01-31,146.11,3029632
2022-02-01,147.78,2319722
2022-02-02,142.2,2068499
2022-02-03,138.02,1512029
2022-02-04,150.26,3823912
2022-02-07,152.62,3676516
2022-02-08,151.73,2104719
2022-02-09,155.5,3538048
2022-02-10,174.6,10465936
2022-02-11,167.4,4207815
2022-02-14,164.35,3947378
2022-02-15,168.99,3337304
2022-02-16,173.92,2682572
2022-02-17,165.81,3413435
2022-02-18,159.02,2917667
2022-02-22,158.94,2200780
2022-02-23,149.44,2880233
2022-02-24,159.86,4007295
2022-02-25,161.41,1939641
2022-02-28,161.11,1824456
2022-03-01,159.97,2232491
2022-03-02,164.48,2183248
2022-03-03,148.46,3635851
2022-03-04,142.19,2222875
2022-03-07,130.11,4636205
2022-03-08,127.13,4315595
2022-03-09,142.83,4316385
2022-03-10,140.16,1702850
2022-03-11,127.02,2792380
2022-03-14,118.76,4218090
2022-03-15,120.94,2009455
2022-03-16,132.24,3478446
2022-03-17,137.74,1774527
2022-03-18,145.76,2682252
2022-03-21,140.14,2194435
2022-03-22,148.65,2852861
2022-03-23,146.44,1693696
2022-03-24,152.21,1375412
2022-03-25,146.84,1430678
2022-03-28,149.35,1391605
2022-03-29,155.41,2180343
2022-03-30,149.66,1336646
2022-03-31,151.47,1872326
2022-04-01,153.5,2132467
2022-04-04,156.56,1467123
2022-04-05,146.9,2088155
2022-04-06,137.27,2206094
2022-04-07,137.24,1309380
2022-04-08,134.29,1345123
2022-04-11,135.09,1515894
2022-04-12,135.5,1629592
2022-04-13,142.87,1577261
2022-04-14,136.04,1325259
2022-04-18,131.11,1149456
2022-04-19,137.28,1469890
2022-04-20,131.62,1147690
2022-04-21,121.82,1728562
2022-04-22,118.4,2838162
2022-04-25,121.68,6908978
2022-04-26,119.35,3250721
2022-04-27,120.44,2480665
2022-04-28,128.47,2181997
2022-04-29,120.78,2044333
2022-05-02,120.2,2468921
2022-05-03,114.89,3398855
2022-05-04,119,4173283
2022-05-05,111.87,7423043
2022-05-06,110,5736465
2022-05-09,97.53,5888701
2022-05-10,98.31,4174670
2022-05-11,97.87,4753773
2022-05-12,98.83,4426236
2022-05-13,108.86,4053221
2022-05-16,97.19,4188251
2022-05-17,95.05,6730521
2022-05-18,88.07,5720462
2022-05-19,96.53,5176475
2022-05-20,94.79,3961021
2022-05-23,93.93,2530014
2022-05-24,85.81,3147678
2022-05-25,88.73,3534436
2022-05-26,89.63,3965624
2022-05-27,98.07,4239342
2022-05-31,95.39,2768654
2022-06-01,97.5,3869769
2022-06-02,110.08,11635823
2022-06-03,105.44,3618906
2022-06-06,103.16,2445251
2022-06-07,108.06,2847989
2022-06-08,107.35,2108461
2022-06-09,103.64,3845204
2022-06-10,96.2,3415585
2022-06-13,86.14,3958915
2022-06-14,87.11,2878194
2022-06-15,89.35,4992423
2022-06-16,81.99,3211147
2022-06-17,85.63,2826991
2022-06-21,90.31,2786551
2022-06-22,91.09,2262287
2022-06-23,100.6,5087893
2022-06-24,107.48,3464858
2022-06-27,105.2,2562557
2022-06-28,97.32,2799568
2022-06-29,98.37,1774493
2022-06-30,95.24,2780497
2022-07-01,101.05,2418515
2022-07-05,108.38,4084655
2022-07-06,108.03,2547185
2022-07-07,107.7,2558072
2022-07-08,108.29,2498968
2022-07-11,104.01,1750949
2022-07-12,97.32,3898548
2022-07-13,97.34,3314253
2022-07-14,93.78,2058823
2022-07-15,93.6,2816663
2022-07-18,91.04,3504496
2022-07-19,92.96,2944500
2022-07-20,100.88,3618882
2022-07-21,101.23,2587165
2022-07-22,93.79,3256479
2022-07-25,90.49,2418583
2022-07-26,85.72,4028106
2022-07-27,94.06,4641064
2022-07-28,95.72,2737651
2022-07-29,102.01,4614976
2022-08-01,103.45,3249485
2022-08-02,106.37,2504447
2022-08-03,112.42,3536014
2022-08-04,110.49,9158710
2022-08-05,113.29,4388267
2022-08-08,112.98,3818410
2022-08-09,109.76,3317063
2022-08-10,117.76,3336547
2022-08-11,114.78,2875765
2022-08-12,115.72,2123575
2022-08-15,116.2,1396854
2022-08-16,113.54,2445181
2022-08-17,110.02,1799818
2022-08-18,109.45,1194056
2022-08-19,105.73,2476182
2022-08-22,101.85,2590786
2022-08-23,102.99,1600548
2022-08-24,105.3,1583437
2022-08-25,110.38,2421146
2022-08-26,106.73,2060660
2022-08-29,105.29,1455909
2022-08-30,104.61,1362309
2022-08-31,104.95,1657285
2022-09-01,97.14,5254866
2022-09-02,96.94,2133892
2022-09-06,92.33,2307173
2022-09-07,95.62,1616373
2022-09-08,97.89,2091729
2022-09-09,100.54,3023146
2022-09-12,104.39,2140889
2022-09-13,96.63,3115788
2022-09-14,97.03,2206371
2022-09-15,95.36,2828113
2022-09-16,91.25,2987810
2022-09-19,93.8,1926706
2022-09-20,93.57,1845718
2022-09-21,94.51,2644168
2022-09-22,89.44,4112674
2022-09-23,87.28,3629911
2022-09-26,86.41,1587449
2022-09-27,87.74,1721170
2022-09-28,89.76,2023597
2022-09-29,87.45,1941147
2022-09-30,88.78,2457117
2022-10-03,90.94,2017811
2022-10-04,95.35,2691766
2022-10-05,95.11,1700191
2022-10-06,93.66,1459666
2022-10-07,88.06,1689826
2022-10-10,84.02,2871567
2022-10-11,82.72,2441820
2022-10-12,82.35,2139942
2022-10-13,80.9,3400491
2022-10-14,75.69,2796469
2022-10-17,80.79,2681100
2022-10-18,81.78,2563543
2022-10-19,79,1912080
2022-10-20,82.34,3982618
2022-10-21,82.15,3113083
2022-10-24,82.43,1864996
2022-10-25,88.75,3792765
2022-10-26,81.5,3956314
2022-10-27,82.16,2054373
2022-10-28,81.13,5004449
2022-10-31,80.51,2480207
2022-11-01,80.8,2196388
2022-11-02,74.48,5751996
2022-11-03,75.01,7226768
2022-11-04,70.38,5893156
2022-11-07,69.48,3003516
2022-11-08,70.49,2620857
2022-11-09,67.22,2557299
2022-11-10,76.52,6316920
2022-11-11,82.35,4188979
2022-11-14,78.12,2907272
2022-11-15,86.1,5076161
2022-11-16,82.44,3567202
2022-11-17,79,2175351
2022-11-18,76.52,3022335
2022-11-21,73.35,1602074
2022-11-22,72.33,3324504
2022-11-23,75.31,2335593
2022-11-25,74.84,1471056
2022-11-28,73.47,1504155
2022-11-29,72.06,1498283
2022-11-30,75.78,3385782
2022-12-01,77.97,2792881
2022-12-02,74.71,3652723
2022-12-05,70.26,2961302
2022-12-06,68.58,2699382
2022-12-07,68.28,3095672
2022-12-08,74.02,4824640
2022-12-09,74.56,2932164
2022-12-12,76.99,3019275
2022-12-13,79.71,4343894
2022-12-14,80.48,2953771
2022-12-15,78.31,2534133
2022-12-16,77.83,2039784
2022-12-19,76.05,2032677
2022-12-20,75.98,1831261
2022-12-21,77.17,1602591
2022-12-22,72.95,2102539
2022-12-23,72.42,1348184
2022-12-27,70.57,1352769
2022-12-28,69.84,1355524
2022-12-29,73.94,2215616
2022-12-30,73.5,1278624
2023-01-03,72.09,2380139
2023-01-04,68.96,3488637
2023-01-05,63.5,4719062
2023-01-06,64.14,3331770
2023-01-09,65.94,2608394
2023-01-10,66.77,2195177
2023-01-11,69.03,2206421
2023-01-12,69.21,2823069
2023-01-13,70.47,1612809
2023-01-17,73.06,2227771
2023-01-18,69.7,2381009
2023-01-19,67.43,2441132
2023-01-20,71.05,2343492
2023-01-23,75.29,3167661
2023-01-24,73.69,2943057
2023-01-25,70.75,7904806
2023-01-26,76,5123717
2023-01-27,77.23,5260014
2023-01-30,73.84,3191973
2023-01-31,74.81,2119929
2023-02-01,82.7,5784882
2023-02-02,86.97,5532268
2023-02-03,79.46,5009170
2023-02-06,76.96,2573152
2023-02-07,80.32,3171060
2023-02-08,82.66,3888093
2023-02-09,83.4,3270047
2023-02-10,80.52,2848779
2023-02-13,82.24,3728947
2023-02-14,85.48,3225763
2023-02-15,88.72,6448170
2023-02-16,82.47,10600584
2023-02-17,79.99,4287967
2023-02-21,78.52,2725849
2023-02-22,79.96,2284313
2023-02-23,78.7,2174155
2023-02-24,76.67,2030472
2023-02-27,77.6,1709916
2023-02-28,76.52,2143735
2023-03-01,75.22,1518416
2023-03-02,74.1,3689828
2023-03-03,76.98,3215054
2023-03-06,76.58,2535674
2023-03-07,74.82,2287088
2023-03-08,71.98,5497002
2023-03-09,69.91,3562324
2023-03-10,65.14,8931902
2023-03-13,66.24,5253637
2023-03-14,65.96,4526199
2023-03-15,67.54,5754744
2023-03-16,69.21,3581399
2023-03-17,68.62,2621740
2023-03-20,66.21,5119778
2023-03-21,69.67,2682583
2023-03-22,66.19,3124252
2023-03-23,67.44,2396656
2023-03-24,65.24,4575355
2023-03-27,65.6,2602699
2023-03-28,67.73,3262287
2023-03-29,68.1,2438207
2023-03-30,67.91,1938365
2023-03-31,72.66,4551468
2023-04-03,70.67,2294163
2023-04-04,69.32,2599257
2023-04-05,66.11,3464602
2023-04-06,65.83,2784710
2023-04-10,66.14,3678103
2023-04-11,64.85,4204947
2023-04-12,66.84,4100074
2023-04-13,68.08,2938155
2023-04-14,67.32,1957326
2023-04-17,69.84,2571627
2023-04-18,70,2028683
2023-04-19,69.56,2040119
2023-04-20,67.48,2407828
2023-04-21,67.28,2340318
2023-04-24,65.71,2358067
2023-04-25,62.69,3391246
2023-04-26,69.27,8590141
2023-04-27,70.21,2826810
2023-04-28,67.38,4410469
2023-05-01,65.4,2853272
2023-05-02,64.04,2369356
2023-05-03,65.84,5283762
2023-05-04,75.4,10642762
2023-05-05,76.57,5515075
2023-05-08,78.54,3741454
2023-05-09,79.59,3631309
2023-05-10,86,7678753
2023-05-11,86.65,3375090
