date,close,volume
2021-07-06,288.5,662133
2021-07-07,292.53,608212
2021-07-08,286.99,830491
2021-07-09,292.71,737879
2021-07-12,292.52,630031
2021-07-13,289.72,801803
2021-07-14,291.09,615138
2021-07-15,292.05,660389
2021-07-16,290.07,716202
2021-07-19,284.67,821023
2021-07-20,290.37,925369
2021-07-21,294.2,735398
2021-07-22,295.22,470040
2021-07-23,298.81,576695
2021-07-26,298.47,836735
2021-07-27,298.85,612470
2021-07-28,296.86,559754
2021-07-29,299.45,707844
2021-07-30,307.39,1448231
2021-08-02,300.22,1065764
2021-08-03,302.92,642210
2021-08-04,305.62,851637
2021-08-05,304.83,829753
2021-08-06,305.87,430975
2021-08-09,303.26,541635
2021-08-10,301.78,826678
2021-08-11,306.3,1157769
2021-08-12,306.66,428935
2021-08-13,309.4,465667
2021-08-16,311.35,738976
2021-08-17,311.52,915960
2021-08-18,309.91,791457
2021-08-19,311.17,694385
2021-08-20,313.85,687449
2021-08-23,312.83,561114
2021-08-24,312.48,351591
2021-08-25,312.85,345567
2021-08-26,311.32,489196
2021-08-27,314.54,527479
2021-08-30,315.55,371446
2021-08-31,314.59,588586
2021-09-01,313.88,587695
2021-09-02,315.57,487687
2021-09-03,313.43,542033
2021-09-07,315.64,813839
2021-09-08,311.59,702504
2021-09-09,312.7,506809
2021-09-10,310.44,525818
2021-09-13,313.5,701158
2021-09-14,311.94,617159
2021-09-15,314.53,781138
2021-09-16,313.08,613284
2021-09-17,309.32,2379915
2021-09-20,302.21,966446
2021-09-21,304.96,651313
2021-09-22,306.06,631988
2021-09-23,310.37,534452
2021-09-24,310.26,464524
2021-09-27,309.21,556155
2021-09-28,299.93,1381093
2021-09-29,299.14,674637
2021-09-30,293.38,991172
2021-10-01,297.85,851295
2021-10-04,294.65,678111
2021-10-05,297.83,577999
2021-10-06,296.05,1037817
2021-10-07,299.16,666674
2021-10-08,296.19,467317
2021-10-11,294.84,382725
2021-10-12,295.81,514259
2021-10-13,300.99,709714
2021-10-14,308.77,641176
2021-10-15,308.24,651972
2021-10-18,307.97,444477
2021-10-19,310.68,528464
2021-10-20,311.22,340451
2021-10-21,311.31,456196
2021-10-22,314.15,526194
2021-10-25,316.68,669294
2021-10-26,316.77,569478
2021-10-27,318.97,730451
2021-10-28,317.96,930872
2021-10-29,319.2,799224
2021-11-01,322.97,712392
2021-11-02,327.57,1051731
2021-11-03,328.41,879557
2021-11-04,331.5,925064
2021-11-05,331.99,703853
2021-11-08,337.53,808414
2021-11-09,338.62,840643
2021-11-10,336.62,932034
2021-11-11,335.66,546967
2021-11-12,337.02,555243
2021-11-15,334.01,707364
2021-11-16,332.97,834537
2021-11-17,331.48,687921
2021-11-18,331,982863
2021-11-19,332.19,796463
