date,close,volume
2021-07-06,233.34,3347680
2021-07-07,221.9,3362909
2021-07-08,232.79,6032259
2021-07-09,232.81,3734115
2021-07-12,239.34,5114104
2021-07-13,235.15,2745631
2021-07-14,246.66,6935074
2021-07-15,259.68,10008000
2021-07-16,286.43,30655320
2021-07-19,313.59,26469025
2021-07-20,307.33,47898436
2021-07-21,321.11,22631910
2021-07-22,323.48,12161279
2021-07-23,348.83,17484989
2021-07-26,335.87,17261574
2021-07-27,328.5,12454926
2021-07-28,349.32,9595631
2021-07-29,345.64,7017231
2021-07-30,353.6,7638996
2021-08-02,346.61,9856386
2021-08-03,386.51,14713331
2021-08-04,419.05,22654551
2021-08-05,416.26,16539562
2021-08-06,413.72,13512603
2021-08-09,484.47,30279871
2021-08-10,456.76,24119727
2021-08-11,385.33,37276320
2021-08-12,391.42,24083260
2021-08-13,389.78,11138815
2021-08-16,373.86,16921778
2021-08-17,401.86,18426262
2021-08-18,398.8,13347169
2021-08-19,375.53,9941846
2021-08-20,382.98,8832800
2021-08-23,411.89,10682893
2021-08-24,394.94,9270517
2021-08-25,397.87,9974755
2021-08-26,400.3,6025737
2021-08-27,382.22,9089576
2021-08-30,370.69,10559056
2021-08-31,376.69,6655898
2021-09-01,389.94,7837395
2021-09-02,397.66,6066710
2021-09-03,416.7,9547424
2021-09-07,436.39,11085665
2021-09-08,422.9,8040577
2021-09-09,455.92,15858230
2021-09-10,449.38,8325637
2021-09-13,419.72,10557764
2021-09-14,427.71,10582457
2021-09-15,434.46,8993855
2021-09-16,440.65,7085960
2021-09-17,430.05,16242317
2021-09-20,423.33,8767388
2021-09-21,434.04,6286957
2021-09-22,440.72,5705770
2021-09-23,454.6,6514817
2021-09-24,430.14,8866042
2021-09-27,408.84,9057230
2021-09-28,384.21,10736033
2021-09-29,378.9,8128085
2021-09-30,384.86,6712657
2021-10-01,341.09,24029636
2021-10-04,325.84,15949260
2021-10-05,332.11,8085018
2021-10-06,302.42,11706521
2021-10-07,309.36,10897227
2021-10-08,304.91,7268043
2021-10-11,305.1,5378166
2021-10-12,311.13,7217212
2021-10-13,321.5,8680207
2021-10-14,331.88,8615415
2021-10-15,324.21,12095167
2021-10-18,334.84,6232704
2021-10-19,333.61,5835295
2021-10-20,333.01,3108043
2021-10-21,339.57,3691402
2021-10-22,326.54,5095167
2021-10-25,349.56,6509407
2021-10-26,345.74,4384653
2021-10-27,340.88,2977558
2021-10-28,347.92,2979275
2021-10-29,345.21,2776232
2021-11-01,337.17,5210097
2021-11-02,348.64,2928088
2021-11-03,345.92,3809876
2021-11-04,284.02,18730671
2021-11-05,236.99,39294726
2021-11-08,244.68,9436790
2021-11-09,236.85,7126486
2021-11-10,228.96,5442590
2021-11-11,225.82,5243794
2021-11-12,231.19,4279020
2021-11-15,235.07,3455305
2021-11-16,234.28,3043546
2021-11-17,242.23,5091733
2021-11-18,251.41,4724381
2021-11-19,263.78,10159805
2021-11-22,282.69,9263477
2021-11-23,276.38,4238901
2021-11-24,273.39,2735295
2021-11-26,329.63,24318462
2021-11-29,368.51,20223053
2021-11-30,352.43,14397285
2021-12-01,310.61,14305325
2021-12-02,301.49,10267268
2021-12-03,306.72,7402277
2021-12-06,265.33,13582614
2021-12-07,282.35,7071237
2021-12-08,283.4,4529822
2021-12-09,272.21,3336959
2021-12-10,257.06,11102065
2021-12-13,271.99,7010114
2021-12-14,277.16,4077483
2021-12-15,283.28,5707210
2021-12-16,282.02,3695979
2021-12-17,294.8,4822095
2021-12-20,276.38,11330560
2021-12-21,268.14,7717180
2021-12-22,251.36,9683776
2021-12-23,249.99,6227727
2021-12-27,246.88,4861096
2021-12-28,241.44,5143195
2021-12-29,247.88,6217242
2021-12-30,251.6,4493394
2021-12-31,253.98,4569459
2022-01-03,235.05,7284316
2022-01-04,233.06,5838297
2022-01-05,215.23,5890798
2022-01-06,216.06,5212027
2022-01-07,213.86,3149306
2022-01-10,233.7,12321898
2022-01-11,221.39,4956546
2022-01-12,222.89,3882724
2022-01-13,210.17,4926689
2022-01-14,204.73,5871746
2022-01-18,186.61,7141452
2022-01-19,174.07,7062691
2022-01-20,167.52,8122142
2022-01-21,160.07,7497752
2022-01-24,157.3,11378237
2022-01-25,152.54,7590459
2022-01-26,154.96,6295449
2022-01-27,148.62,5453274
2022-01-28,159.47,4388450
2022-01-31,169.33,6096048
2022-02-01,172.74,4497948
2022-02-02,169.61,3473341
2022-02-03,163.95,2416965
2022-02-04,163.01,2412955
2022-02-07,160.27,2652016
2022-02-08,153.31,4849631
2022-02-09,164.03,3602720
2022-02-10,160.42,3678603
2022-02-11,161.32,3397276
2022-02-14,142.47,12305375
2022-02-15,151.12,8129790
2022-02-16,151.81,3808248
2022-02-17,146.36,3045360
2022-02-18,145.74,3131148
2022-02-22,144.97,4214815
2022-02-23,135.73,5181923
2022-02-24,156.23,11985295
2022-02-25,151.33,5054429
2022-02-28,153.6,3676833
2022-03-01,149.52,3011182
2022-03-02,147.86,3615803
2022-03-03,141.52,2965558
2022-03-04,136.46,3151374
2022-03-07,126.46,3950898
2022-03-08,129.28,4385143
2022-03-09,142.49,6829384
2022-03-10,139.52,3541904
2022-03-11,138.2,3302720
2022-03-14,150.07,17365605
2022-03-15,148.12,9853853
2022-03-16,169.36,10180640
2022-03-17,168.26,5188188
2022-03-18,178.93,7587956
2022-03-21,175.38,3671723
2022-03-22,186.72,5919718
2022-03-23,178.73,5112606
2022-03-24,179.68,4361596
2022-03-25,165.92,5813705
2022-03-28,173.08,4271872
2022-03-29,180.64,4983250
2022-03-30,174.92,4718531
2022-03-31,172.26,3394702
2022-04-01,176.59,3150221
2022-04-04,172.54,3862289
2022-04-05,162.05,4398305
2022-04-06,154.62,5054942
2022-04-07,159,3747606
2022-04-08,160.84,3714324
2022-04-11,160,3522513
2022-04-12,159.5,3541423
2022-04-13,169.66,4543831
2022-04-14,165.49,2751831
2022-04-18,154.75,3122358
2022-04-19,152.72,4430288
2022-04-20,150.12,2449531
2022-04-21,144.5,2374859
2022-04-22,140.34,2431749
2022-04-25,150.41,3970942
2022-04-26,145.79,3216698
2022-04-27,142.43,3100690
2022-04-28,142.52,3986364
2022-04-29,134.41,4415119
2022-05-02,142.08,5212448
2022-05-03,146.54,4381436
2022-05-04,155.05,7792674
2022-05-05,142.02,5594017
2022-05-06,134.4,4715064
2022-05-09,135.8,6928441
2022-05-10,132.32,5647798
2022-05-11,123.43,4679988
2022-05-12,130.17,4816977
2022-05-13,137.91,4248339
2022-05-16,136.26,3117391
2022-05-17,142.28,4161932
2022-05-18,137.71,3272082
2022-05-19,143.38,5363692
2022-05-20,136.25,3589915
2022-05-23,137.62,2742611
2022-05-24,132.06,3447780
2022-05-25,130.85,3562104
2022-05-26,135.8,3160992
2022-05-27,147.66,4955636
2022-05-31,145.33,3141925
2022-06-01,143.4,2208886
2022-06-02,140.18,5006337
2022-06-03,137.15,2614452
2022-06-06,140,1904302
2022-06-07,145.34,2527034
2022-06-08,148.53,3091974
2022-06-09,134.04,5104101
2022-06-10,127.12,4172802
2022-06-13,117.13,4339224
2022-06-14,121.56,3588531
2022-06-15,128.53,4737253
2022-06-16,121.08,3374207
2022-06-17,128.03,4220331
2022-06-21,129.99,2688550
2022-06-22,136.07,3966812
2022-06-23,143.26,3215789
2022-06-24,144.27,3081679
2022-06-27,145.36,2855744
2022-06-28,142.19,2558305
2022-06-29,142.81,1936502
2022-06-30,142.85,3696572
2022-07-01,149.95,3248466
2022-07-05,155.54,4150709
2022-07-06,159.56,3148796
2022-07-07,172.4,5298023
2022-07-08,176.23,5171775
2022-07-11,175.26,4469979
2022-07-12,173.25,3467253
2022-07-13,171.24,2592469
2022-07-14,159.92,4553161
2022-07-15,166.91,2702024
2022-07-18,163.4,2293405
2022-07-19,167.14,1794100
2022-07-20,166.89,1631413
2022-07-21,168.89,1579867
2022-07-22,163.52,1561688
2022-07-25,165.69,1600369
2022-07-26,160.9,1752525
2022-07-27,158.02,2716784
2022-07-28,158.07,2300517
2022-07-29,164.09,2197977
2022-08-01,161.51,2493392
2022-08-02,160.81,2108872
2022-08-03,186.49,9832617
2022-08-04,194.18,4832968
2022-08-05,186.84,3617334
2022-08-08,182.94,2685494
2022-08-09,171.14,3302219
2022-08-10,174.27,2257516
2022-08-11,171.81,2131128
2022-08-12,171.18,1755551
2022-08-15,176.78,3497536
2022-08-16,167.96,3451770
2022-08-17,158,3550393
2022-08-18,150,4924863
2022-08-19,146.1,3122077
2022-08-22,142.47,2720973
2022-08-23,143.78,2267144
2022-08-24,141.43,2131096
2022-08-25,142.05,2234680
2022-08-26,136.7,2325921
2022-08-29,137.26,2129238
2022-08-30,135.93,2282453
2022-08-31,132.27,2622089
2022-09-01,138.95,3793342
2022-09-02,138.57,3308229
2022-09-06,130.08,3974586
2022-09-07,134.9,2553647
2022-09-08,141.28,3260284
2022-09-09,142.28,2053366
2022-09-12,140.32,2129635
2022-09-13,131.3,2522363
2022-09-14,139.4,5441636
2022-09-15,135.86,2558664
2022-09-16,137.74,3726890
2022-09-19,127.9,8713258
2022-09-20,129.71,6166418
2022-09-21,125.76,2523125
2022-09-22,124.32,2251138
2022-09-23,123.64,2439979
2022-09-26,119.69,2313022
2022-09-27,122.23,2418969
2022-09-28,122.15,2695815
2022-09-29,118.07,2986034
2022-09-30,118.25,2366811
2022-10-03,120.99,2183736
2022-10-04,125.67,2007830
