date,close,volume
2021-07-06,277.66,17915275
2021-07-07,279.93,14898294
2021-07-08,277.42,14851602
2021-07-09,277.94,14060925
2021-07-12,277.32,10137754
2021-07-13,280.98,17689926
2021-07-14,282.51,14871841
2021-07-15,281.03,14405024
2021-07-16,280.75,17666770
2021-07-19,277.01,19770856
2021-07-20,279.32,14316958
2021-07-21,281.4,13511262
2021-07-22,286.14,14448988
2021-07-23,289.67,15493407
2021-07-26,289.05,14226620
2021-07-27,286.54,19189706
2021-07-28,286.22,22637940
2021-07-29,286.5,11454878
2021-07-30,284.91,12440886
2021-08-02,284.82,9843455
2021-08-03,287.12,10758223
2021-08-04,286.51,10033183
2021-08-05,289.52,8828741
2021-08-06,289.46,8128543
2021-08-09,288.33,8936405
2021-08-10,286.44,9043255
2021-08-11,286.95,8266700
2021-08-12,289.81,8478179
2021-08-13,292.85,9411086
2021-08-16,294.6,13449289
2021-08-17,293.08,11999062
2021-08-18,290.73,12440615
2021-08-19,296.77,18796936
2021-08-20,304.36,28925170
2021-08-23,304.65,14300599
2021-08-24,302.62,10788827
2021-08-25,302.01,11415231
2021-08-26,299.09,11167455
2021-08-27,299.72,12380159
2021-08-30,303.59,9792502
2021-08-31,301.88,11446835
2021-09-01,301.83,10582203
2021-09-02,301.15,9111574
2021-09-03,301.14,7711373
2021-09-07,300.18,10204605
2021-09-08,300.21,8282793
2021-09-09,297.25,11660746
2021-09-10,295.71,11303177
2021-09-13,296.99,12287141
2021-09-14,299.79,12576198
2021-09-15,304.82,16399128
2021-09-16,305.22,10908894
2021-09-17,299.87,19133714
2021-09-20,294.3,20748213
2021-09-21,294.8,13719402
2021-09-22,298.58,15853768
2021-09-23,299.56,10816880
2021-09-24,299.35,8797714
2021-09-27,294.17,14545059
2021-09-28,283.52,26138535
2021-09-29,284,16556600
2021-09-30,281.92,19354444
2021-10-01,289.1,17267604
2021-10-04,283.11,18110116
2021-10-05,288.76,14920442
2021-10-06,293.11,16390001
2021-10-07,294.85,12294759
2021-10-08,294.85,9471655
2021-10-11,294.23,10215928
2021-10-12,292.88,9840826
2021-10-13,296.31,12251656
2021-10-14,302.75,15702896
2021-10-15,304.21,14696336
2021-10-18,307.29,13978105
2021-10-19,308.23,10576648
2021-10-20,307.41,9627342
2021-10-21,310.76,10305158
2021-10-22,309.16,9878275
2021-10-25,308.13,9730234
2021-10-26,310.11,15265929
2021-10-27,323.17,35527044
2021-10-28,324.35,16166993
2021-10-29,331.62,19970282
2021-11-01,329.37,16276173
2021-11-02,333.13,15665062
2021-11-03,334,11419748
2021-11-04,336.44,13698314
2021-11-05,336.06,12088254
2021-11-08,336.99,10339113
2021-11-09,335.95,11359087
2021-11-10,330.8,12461963
2021-11-11,332.43,7580970
2021-11-12,336.72,9953317
2021-11-15,336.07,9425003
2021-11-16,339.51,11613023
2021-11-17,339.12,10012552
2021-11-18,341.27,9744562
2021-11-19,343.11,12161836
2021-11-22,339.83,17967849
2021-11-23,337.68,15106285
2021-11-24,337.91,9803617
2021-11-26,329.68,14219230
2021-11-29,336.63,14885870
2021-11-30,330.59,17859961
2021-12-01,330.08,19622443
2021-12-02,329.49,15898037
2021-12-03,323.01,22725336
2021-12-06,326.19,16232169
2021-12-07,334.92,17292510
2021-12-08,334.97,12362290
2021-12-09,333.1,10872716
2021-12-10,342.54,24076573
2021-12-13,339.4,14479509
2021-12-14,328.34,25825322
2021-12-15,334.65,19326899
2021-12-16,324.9,20297988
2021-12-17,323.8,22470576
2021-12-20,319.91,14250429
2021-12-21,327.29,14117350
2021-12-22,333.2,14535298
2021-12-23,334.69,10680763
2021-12-27,342.45,11191143
2021-12-28,341.25,8883975
2021-12-29,341.95,9300593
2021-12-30,339.32,9612963
2021-12-31,336.32,9505554
2022-01-03,334.75,15629442
2022-01-04,329.01,19187780
2022-01-05,316.38,23975392
2022-01-06,313.88,23749280
2022-01-07,314.04,17881945
2022-01-10,314.27,23833515
2022-01-11,314.98,18305343
2022-01-12,318.27,20015361
2022-01-13,304.8,27799141
2022-01-14,310.2,25511851
2022-01-18,302.65,22992904
2022-01-19,303.33,29108470
2022-01-20,301.6,21152285
2022-01-21,296.03,33198300
2022-01-24,296.37,53851272
2022-01-25,288.49,38276850
2022-01-26,296.71,59896867
2022-01-27,299.84,34847188
2022-01-28,308.26,30312187
2022-01-31,310.98,25811599
2022-02-01,308.76,24424955
2022-02-02,313.46,20214196
2022-02-03,301.25,24541865
2022-02-04,305.94,18878920
2022-02-07,300.95,15180862
2022-02-08,304.56,15633554
2022-02-09,311.21,18428203
2022-02-10,302.38,26187616
2022-02-11,295.04,22253487
2022-02-14,295,19239856
2022-02-15,300.47,15377034
2022-02-16,299.5,15923862
2022-02-17,290.73,16504233
2022-02-18,287.93,19076127
2022-02-22,287.72,19583123
2022-02-23,280.27,18436512
2022-02-24,294.59,33816305
2022-02-25,297.31,18910612
2022-02-28,298.79,18319864
2022-03-01,294.95,17779520
2022-03-02,300.19,17544437
2022-03-03,295.92,15790691
2022-03-04,289.86,18482303
2022-03-07,278.91,24491691
2022-03-08,275.85,30429937
2022-03-09,288.5,19680401
2022-03-10,285.59,16715272
2022-03-11,280.07,14642565
2022-03-14,276.44,17632261
2022-03-15,287.15,18467698
2022-03-16,294.39,21691915
2022-03-17,295.22,16575025
2022-03-18,300.43,23224022
2022-03-21,299.16,14510689
2022-03-22,304.06,14572084
2022-03-23,299.49,14282872
2022-03-24,304.1,12246899
2022-03-25,303.68,13544716
2022-03-28,310.7,16613569
2022-03-29,315.41,17481066
2022-03-30,313.86,14836326
2022-03-31,308.31,16528600
2022-04-01,309.42,15450903
2022-04-04,314.97,13830341
2022-04-05,310.88,14117330
2022-04-06,299.5,24952631
2022-04-07,301.37,19652547
