date,close,volume
2021-07-06,432.93,49209657
2021-07-07,434.46,45817309
2021-07-08,430.92,71250749
2021-07-09,435.52,48692553
2021-07-12,437.08,34329441
2021-07-13,435.59,39330258
2021-07-14,436.24,43446458
2021-07-15,434.75,43711455
2021-07-16,431.34,52496211
2021-07-19,424.97,108917635
2021-07-20,431.06,72046979
2021-07-21,434.55,42962308
2021-07-22,435.46,33032651
2021-07-23,439.94,42776491
2021-07-26,441.02,28862919
2021-07-27,439.01,50680170
2021-07-28,438.83,38076966
2021-07-29,440.65,33229494
2021-07-30,438.51,45038527
2021-08-02,437.59,43282284
2021-08-03,441.15,44885427
2021-08-04,438.98,34141033
2021-08-05,441.76,27405984
2021-08-06,442.49,30511040
2021-08-09,442.13,24423863
2021-08-10,442.68,30780522
2021-08-11,443.78,29842850
2021-08-12,445.11,28629745
2021-08-13,445.92,25183718
2021-08-16,446.97,44730284
2021-08-17,444.04,69304089
2021-08-18,439.18,59361388
2021-08-19,439.86,74711742
2021-08-20,443.36,46674447
2021-08-23,447.26,37955296
2021-08-24,447.97,25704116
2021-08-25,448.91,28282215
2021-08-26,446.26,46761892
2021-08-27,450.25,46019663
2021-08-30,452.23,32316691
2021-08-31,451.56,38062255
2021-09-01,451.8,35851903
2021-09-02,453.19,31382025
2021-09-03,453.08,31190930
2021-09-07,451.46,35654750
2021-09-08,450.91,41620897
2021-09-09,448.98,43518755
2021-09-10,445.44,60848574
2021-09-13,446.58,58661421
2021-09-14,444.17,54640106
2021-09-15,447.88,54633479
2021-09-16,447.17,50865867
2021-09-17,441.4,72060821
2021-09-20,434.04,121956027
2021-09-21,433.63,68392678
2021-09-22,437.86,74372660
2021-09-23,443.18,56597442
2021-09-24,443.91,42095650
2021-09-27,442.64,42039635
2021-09-28,433.72,96190286
2021-09-29,434.45,62205995
2021-09-30,429.14,95385455
2021-10-01,434.24,89252803
2021-10-04,428.64,93164264
2021-10-05,433.1,66533717
2021-10-06,434.9,85087792
2021-10-07,438.66,53752620
2021-10-08,437.86,49536254
2021-10-11,434.69,45607034
2021-10-12,433.62,50189611
2021-10-13,435.18,51504299
2021-10-14,442.5,48509619
2021-10-15,445.87,42364398
2021-10-18,447.19,38411426
2021-10-19,450.64,35357494
2021-10-20,452.41,33853976
2021-10-21,453.59,28831267
2021-10-22,453.12,43018221
2021-10-25,455.55,30727454
2021-10-26,455.96,41357087
2021-10-27,453.94,39788490
2021-10-28,458.32,32730351
2021-10-29,459.25,41868994
2021-11-01,460.04,31993675
2021-11-02,461.9,31098995
2021-11-03,464.72,36111379
2021-11-04,466.91,34005044
2021-11-05,468.53,44787011
2021-11-08,468.93,27752483
2021-11-09,467.38,36792267
2021-11-10,463.62,50215523
2021-11-11,463.77,25072089
2021-11-12,467.27,34239790
2021-11-15,467.43,31243544
2021-11-16,469.28,30695704
2021-11-17,468.14,29497888
2021-11-18,469.73,35042674
2021-11-19,468.89,32115493
2021-11-22,467.57,52568302
2021-11-23,468.19,52780614
2021-11-24,469.44,42477879
2021-11-26,458.97,70623727
2021-11-29,464.6,54323193
2021-11-30,455.56,97083445
2021-12-01,450.5,92030995
2021-12-02,457.4,87135154
2021-12-03,453.42,98907408
2021-12-06,458.79,66467576
2021-12-07,468.28,64039728
2021-12-08,469.52,41652384
2021-12-09,466.35,41438415
2021-12-10,470.74,48685091
2021-12-13,466.57,56051292
2021-12-14,463.36,59037693
2021-12-15,470.6,71882966
2021-12-16,466.45,72008951
2021-12-17,459.87,79421094
2021-12-20,454.98,69736482
2021-12-21,463.06,48991656
2021-12-22,467.69,38452144
2021-12-23,470.6,34440500
2021-12-27,477.26,36463332
2021-12-28,476.87,28908009
2021-12-29,477.48,31228179
2021-12-30,476.16,31204071
2021-12-31,474.96,37908097
2022-01-03,477.71,44115602
2022-01-04,477.55,44970789
2022-01-05,468.38,66158039
2022-01-06,467.94,60999921
2022-01-07,466.09,53262760
2022-01-10,465.51,82225190
2022-01-11,469.75,55016822
2022-01-12,471.02,47133157
2022-01-13,464.53,61645158
2022-01-14,464.72,69253600
2022-01-18,456.49,74928513
2022-01-19,451.75,72551986
2022-01-20,446.75,90120534
