date,close,volume
2021-07-06,410.26,1206418
2021-07-07,411.66,1065084
2021-07-08,409.95,937336
2021-07-09,412.11,1066020
2021-07-12,416.04,1295062
2021-07-13,418.54,1712349
2021-07-14,414.74,1322496
2021-07-15,420.05,1546858
2021-07-16,419.7,1366995
2021-07-19,409.06,1495681
2021-07-20,412.97,1584235
2021-07-21,414.64,827798
2021-07-22,415.77,683829
2021-07-23,417.7,831537
2021-07-26,413.54,979064
2021-07-27,415.1,1322766
2021-07-28,409.17,1241008
2021-07-29,412.08,770112
2021-07-30,412.22,790283
2021-08-02,415.57,877191
2021-08-03,421.9,1237851
2021-08-04,421.54,975643
2021-08-05,411.19,2170608
2021-08-06,415.12,999437
2021-08-09,410.87,758895
2021-08-10,411.78,712768
2021-08-11,407.74,731631
2021-08-12,405.96,1102845
2021-08-13,409.67,776773
2021-08-16,417.21,1152284
2021-08-17,421.78,1168492
2021-08-18,417.32,1673835
2021-08-19,427.89,1674318
2021-08-20,429.71,1125316
2021-08-23,425.36,977148
2021-08-24,423.41,733592
2021-08-25,419.74,821541
2021-08-26,416.85,678106
2021-08-27,418.76,764679
2021-08-30,418.3,546508
2021-08-31,416.27,1521020
2021-09-01,417.35,1080906
2021-09-02,423.71,1343434
2021-09-03,422.86,748553
2021-09-07,421.24,785150
2021-09-08,415.39,942486
2021-09-09,414.55,844982
2021-09-10,403.91,1559559
2021-09-13,414.52,1484467
2021-09-14,412.54,1446975
2021-09-15,417.52,936751
2021-09-16,416.84,914442
2021-09-17,420.16,1804174
2021-09-20,412.7,1052039
2021-09-21,412.34,1012538
2021-09-22,408.7,1654657
2021-09-23,408.03,1478036
2021-09-24,407.08,901163
2021-09-27,405.27,1081602
2021-09-28,398.62,1532826
2021-09-29,400.41,968487
2021-09-30,390.74,1761013
2021-10-01,392.43,1662320
2021-10-04,387.01,1528841
2021-10-05,393.43,1643844
2021-10-06,394.25,1215215
2021-10-07,404.7,1322996
2021-10-08,408.46,987870
2021-10-11,404.99,995562
2021-10-12,403.24,886093
2021-10-13,403.55,1461568
2021-10-14,420.36,3600746
2021-10-15,428.07,1690483
